"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","Washington State Advisory Vote No. 39","Repealed"," ","0","0","State Executive"
"Adams","Washington State Advisory Vote No. 39","Maintained"," ","0","0","State Executive"
"Adams","Washington State Advisory Vote No. 40","Repealed"," ","0","0","State Executive"
"Adams","Washington State Advisory Vote No. 40","Maintained"," ","0","0","State Executive"
"Adams","United States U.S. Senator","Patty Murray","(Prefers Democratic Party)","0","0","Federal"
"Adams","United States U.S. Senator","Tiffany Smiley","(Prefers Republican Party)","0","0","Federal"
"Adams","United States U.S. Senator","WRITE-IN"," ","0","0","Federal"
"Adams","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","0","0","Congressional"
"Adams","Congressional District 4 U.S. Representative","Doug White","(Prefers Democratic Party)","0","0","Congressional"
"Adams","Congressional District 4 U.S. Representative","WRITE-IN"," ","0","0","Congressional"
"Adams","CONGRESSIONAL DISTRICT 5 U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","0","0","Congressional"
"Adams","CONGRESSIONAL DISTRICT 5 U.S. Representative","Natasha Hill","(Prefers Democratic Party)","0","0","Congressional"
"Adams","CONGRESSIONAL DISTRICT 5 U.S. Representative","WRITE-IN"," ","0","0","Congressional"
"Adams","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","0","0","State Executive"
"Adams","Washington State Secretary of State","Julie Anderson","(Prefers Nonpartisan Party)","0","0","State Executive"
"Adams","Washington State Secretary of State","WRITE-IN"," ","0","0","State Executive"
"Adams","Legislative District 9 State Representative Pos. 1","Mary Dye","(Prefers Republican Party)","0","0","Legislative"
"Adams","Legislative District 9 State Representative Pos. 1","WRITE-IN"," ","0","0","Legislative"
"Adams","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers GOP Party)","0","0","Legislative"
"Adams","Legislative District 9 State Representative Pos. 2","WRITE-IN"," ","0","0","Legislative"
"Adams","LEGISLATIVE DISTRICT 15 State Senator","Nikki Torres","(Prefers Republican Party)","0","0","Legislative"
"Adams","LEGISLATIVE DISTRICT 15 State Senator","Lindsey Keesling","(Prefers Democratic Party)","0","0","Legislative"
"Adams","LEGISLATIVE DISTRICT 15 State Senator","WRITE-IN"," ","0","0","Legislative"
"Adams","LEGISLATIVE DISTRICT 15 State Representative Pos. 1","Bruce Chandler","(Prefers Republican Party)","0","0","Legislative"
"Adams","LEGISLATIVE DISTRICT 15 State Representative Pos. 1","WRITE-IN"," ","0","0","Legislative"
"Adams","LEGISLATIVE DISTRICT 15 State Representative Pos. 2","Bryan Sandlin","(Prefers Republican Party)","0","0","Legislative"
"Adams","LEGISLATIVE DISTRICT 15 State Representative Pos. 2","WRITE-IN"," ","0","0","Legislative"
"Adams","Adams Assessor","Veronica Rodriguez","(Prefers Republican Party)","0","0","County"
"Adams","Adams Assessor","WRITE-IN"," ","0","0","County"
"Adams","Adams Auditor","Heidi K. Hunt","(Prefers Republican Party)","0","0","County"
"Adams","Adams Auditor","WRITE-IN"," ","0","0","County"
"Adams","Adams Clerk","Katie Sloan","(Prefers Republican Party)","0","0","County"
"Adams","Adams Clerk","WRITE-IN"," ","0","0","County"
"Adams","Adams County Commissioner District 3","Miguel A. &quot;Mike&quot; Garza","(Prefers Republican Party)","0","0","County"
"Adams","Adams County Commissioner District 3","Terry Thompson","(Prefers Republican Party)","0","0","County"
"Adams","Adams County Commissioner District 3","WRITE-IN"," ","0","0","County"
"Adams","Adams Prosecutor","Randy J. Flyckt","(Prefers Republican Party)","0","0","County"
"Adams","Adams Prosecutor","WRITE-IN"," ","0","0","County"
"Adams","Adams Sheriff","Dale J. Wagner","(Prefers republican Party)","0","0","County"
"Adams","Adams Sheriff","Matthew Carlson","(Prefers Republican Party)","0","0","County"
"Adams","Adams Sheriff","WRITE-IN"," ","0","0","County"
"Adams","Adams Treasurer","Kayla M. Meise","(Prefers Republican Party)","0","0","County"
"Adams","Adams Treasurer","WRITE-IN"," ","0","0","County"
"Adams","SUPREME COURT Justice Position #01","Mary I. Yu","","0","0","Judicial"
"Adams","SUPREME COURT Justice Position #01","WRITE-IN"," ","0","0","Judicial"
"Adams","SUPREME COURT Justice Position #05","Barbara Madsen","","0","0","Judicial"
"Adams","SUPREME COURT Justice Position #05","WRITE-IN"," ","0","0","Judicial"
"Adams","SUPREME COURT Justice Position #06","G. Helen Whitener","","0","0","Judicial"
"Adams","SUPREME COURT Justice Position #06","WRITE-IN"," ","0","0","Judicial"
"Adams","Court of Appeals, Division 3, District 2 Judge Position 1","George Fearing","","0","0","Judicial"
"Adams","Court of Appeals, Division 3, District 2 Judge Position 1","WRITE-IN"," ","0","0","Judicial"
"Adams","Adams District Court Judge Position 1","Andrea Russell","","0","0","County"
"Adams","Adams District Court Judge Position 1","WRITE-IN"," ","0","0","County"
"Adams","Adams District Court Judge Position 2","Carolyn J. Benzel","","0","0","County"
"Adams","Adams District Court Judge Position 2","WRITE-IN"," ","0","0","County"
"Adams","HOSPITAL DISTRICT 2 EMS Levy","Approved"," ","0","0","Hospital"
"Adams","HOSPITAL DISTRICT 2 EMS Levy","Rejected"," ","0","0","Hospital"
"Adams","FIRE DISTRICT 4 Maintenance and Operation Levy","Approved"," ","0","0","Fire"
"Adams","FIRE DISTRICT 4 Maintenance and Operation Levy","Rejected"," ","0","0","Fire"
"Adams","WASHTUCNA PARK AND RECREATION 2 Maintenance and Operation Levy","Approved"," ","0","0","Park and Recreation"
"Adams","WASHTUCNA PARK AND RECREATION 2 Maintenance and Operation Levy","Rejected"," ","0","0","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Maintenance and Operation Levy","Approved"," ","0","0","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Maintenance and Operation Levy","Rejected"," ","0","0","Park and Recreation"
"Adams","CEMETERY DISTRICT 1 Maintenance and Operation Levy","Approved"," ","0","0","Cemetery"
"Adams","CEMETERY DISTRICT 1 Maintenance and Operation Levy","Reject"," ","0","0","Cemetery"
"Adams","CEMETERY DISTRICT 3 Maintenance and Operation Levy","Approved"," ","0","0","Cemetery"
"Adams","CEMETERY DISTRICT 3 Maintenance and Operation Levy","Rejected"," ","0","0","Cemetery"
"Asotin","Washington State Advisory Vote No. 39","Repealed"," ","0","0","State Executive"
"Asotin","Washington State Advisory Vote No. 39","Maintained"," ","0","0","State Executive"
"Asotin","Washington State Advisory Vote No. 40","Repealed"," ","0","0","State Executive"
"Asotin","Washington State Advisory Vote No. 40","Maintained"," ","0","0","State Executive"
"Asotin","CITY OF CLARKSTON Emergency Medical Services Excess Tax Levy","Yes, Levy"," ","0","0","City/Town"
"Asotin","CITY OF CLARKSTON Emergency Medical Services Excess Tax Levy","No, Levy"," ","0","0","City/Town"
"Asotin","United States U.S. Senator","Patty Murray","(Prefers Democratic Party)","0","0","Federal"
"Asotin","United States U.S. Senator","Tiffany Smiley","(Prefers Republican Party)","0","0","Federal"
"Asotin","United States U.S. Senator","WRITE-IN"," ","0","0","Federal"
"Asotin","CONGRESSIONAL DISTRICT 5 U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","0","0","Congressional"
"Asotin","CONGRESSIONAL DISTRICT 5 U.S. Representative","Natasha Hill","(Prefers Democratic Party)","0","0","Congressional"
