"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Clark","Woodland School District No. 4 Proposition 1, Replacement School Support Levy for Educational Programs and Operations","Yes"," ","275","52.5813","School"
"Clark","Woodland School District No. 4 Proposition 1, Replacement School Support Levy for Educational Programs and Operations","No"," ","248","47.4187","School"
"Cowlitz","Kalama School District No. 402 Proposition 1, Replacement Educational Programs and Operation Levy","Levy Yes"," ","1870","62.6466","School"
"Cowlitz","Kalama School District No. 402 Proposition 1, Replacement Educational Programs and Operation Levy","Levy No"," ","1115","37.3534","School"
"Cowlitz","Woodland School District No. 4 Proposition 1, Replacement School Support Levy for Educational Programs and Operations","Yes"," ","2146","55.5671","School"
"Cowlitz","Woodland School District No. 4 Proposition 1, Replacement School Support Levy for Educational Programs and Operations","No"," ","1716","44.4329","School"
"Douglas","DOUGLAS-OKANOGAN FIRE DISTRICT PROPOSITION NO.1 Douglas Okanogan County Fire District 15 - Board of Commissioners  Emergency Medical Services Property Tax Levy.","Yes"," ","91","61.4865","Fire"
"Douglas","DOUGLAS-OKANOGAN FIRE DISTRICT PROPOSITION NO.1 Douglas Okanogan County Fire District 15 - Board of Commissioners  Emergency Medical Services Property Tax Levy.","No"," ","57","38.5135","Fire"
"Douglas","HOSPITAL DISTRICT 01 PUBLIC HOSPITAL DISTRICT NO. 1 OKANOGAN AND DOUGLAS COUNTIES  PROPOSITION NO. 1  ONE-YEAR SPECIAL LEVY","Approved"," ","253","57.3696","Hospital"
"Douglas","HOSPITAL DISTRICT 01 PUBLIC HOSPITAL DISTRICT NO. 1 OKANOGAN AND DOUGLAS COUNTIES  PROPOSITION NO. 1  ONE-YEAR SPECIAL LEVY","Rejected"," ","188","42.6304","Hospital"
"Garfield","HOSPITAL DISTRICT 1 Proposition 1","Approved"," ","783","72.5672","Hospital"
"Garfield","HOSPITAL DISTRICT 1 Proposition 1","Rejected"," ","296","27.4328","Hospital"
"Grant","Soap Lake School Dist #156 Proposition No. 1","LEVY....YES"," ","361","51.4979","School"
"Grant","Soap Lake School Dist #156 Proposition No. 1","LEVY....NO"," ","340","48.5021","School"
"Grant","Soap Lake School Dist #156 Proposition No. 2","LEVY....YES"," ","344","48.1793","School"
"Grant","Soap Lake School Dist #156 Proposition No. 2","LEVY...NO"," ","370","51.8207","School"
"Grant","Grant County  Fire Dist #11 Proposition No. 1","Yes"," ","302","91.7933","Fire"
"Grant","Grant County  Fire Dist #11 Proposition No. 1","No"," ","27","8.2067","Fire"
"Kitsap","North Mason School 403 North Mason School 403 Replacement of Expiring Educational Programs and Operations Levy","Levy...Yes"," ","47","41.5929","School"
"Kitsap","North Mason School 403 North Mason School 403 Replacement of Expiring Educational Programs and Operations Levy","Levy...No"," ","66","58.4071","School"
"Kittitas","CITY OF CLE ELUM Proposition No. 1","Approved"," ","365","71.2891","City/Town"
"Kittitas","CITY OF CLE ELUM Proposition No. 1","Rejected"," ","147","28.7109","City/Town"
"Mason","Fire Protection Dist 6 Fire #6 EMS Reg levy Prop #1","Levy...Yes"," ","561","71.2834","Fire"
"Mason","Fire Protection Dist 6 Fire #6 EMS Reg levy Prop #1","Levy...No"," ","226","28.7166","Fire"
"Mason","Fire Protection Dist 16 Fire #16 Property Tax Levy Prop # 1","Levy...Yes"," ","396","52.381","Fire"
"Mason","Fire Protection Dist 16 Fire #16 Property Tax Levy Prop # 1","Levy...No"," ","360","47.619","Fire"
"Mason","Fire Protection Dist 16 Fire 16 Permanent EMS Levy Prop 2","Levy...Yes"," ","416","55.1724","Fire"
"Mason","Fire Protection Dist 16 Fire 16 Permanent EMS Levy Prop 2","Levy...No"," ","338","44.8276","Fire"
"Mason","North Mason School 403 North Mason School 403 Replacement of Expiring Educational Programs and Operations Levy","Levy...Yes"," ","2532","49.4338","School"
"Mason","North Mason School 403 North Mason School 403 Replacement of Expiring Educational Programs and Operations Levy","Levy...No"," ","2590","50.5662","School"
"Okanogan","CITY OF BREWSTER PROPOSITION 1 EMERGENCY MEDICAL CARE AND SERVICES LEVY","Yes"," ","115","58.9744","City/Town"
"Okanogan","CITY OF BREWSTER PROPOSITION 1 EMERGENCY MEDICAL CARE AND SERVICES LEVY","No"," ","80","41.0256","City/Town"
"Okanogan","CITY OF PATEROS PROPOSITION 1  Submitted by the City of Pateros, Washington    EMERGENCY MEDICAL CARE OR EMERGENCY MEDICAL SERVICES LEVY","Yes"," ","50","46.729","City/Town"
"Okanogan","CITY OF PATEROS PROPOSITION 1  Submitted by the City of Pateros, Washington    EMERGENCY MEDICAL CARE OR EMERGENCY MEDICAL SERVICES LEVY","No"," ","57","53.271","City/Town"
"Okanogan","DOUGLAS-OKANOGAN FIRE DISTRICT PROPOSITION NO.1 Douglas Okanogan County Fire District 15 - Board of Commissioners  Emergency Medical Services Property Tax Levy.","Yes"," ","350","67.0498","Fire"
"Okanogan","DOUGLAS-OKANOGAN FIRE DISTRICT PROPOSITION NO.1 Douglas Okanogan County Fire District 15 - Board of Commissioners  Emergency Medical Services Property Tax Levy.","No"," ","172","32.9502","Fire"
"Okanogan","FIRE DISTRICT 06 Okanogan County Fire Protection District No. 6 – Board of Commissioners - Proposition 6 Authorizing Increase to Regular Property Tax Levy","Approved"," ","1563","69.405","Fire"
"Okanogan","FIRE DISTRICT 06 Okanogan County Fire Protection District No. 6 – Board of Commissioners - Proposition 6 Authorizing Increase to Regular Property Tax Levy","Rejected"," ","689","30.595","Fire"
"Okanogan","HOSPITAL DISTRICT 01 PUBLIC HOSPITAL DISTRICT NO. 1 OKANOGAN AND DOUGLAS COUNTIES  PROPOSITION NO. 1  ONE-YEAR SPECIAL LEVY","Approved"," ","2524","72.4039","Hospital"
"Okanogan","HOSPITAL DISTRICT 01 PUBLIC HOSPITAL DISTRICT NO. 1 OKANOGAN AND DOUGLAS COUNTIES  PROPOSITION NO. 1  ONE-YEAR SPECIAL LEVY","Rejected"," ","962","27.5961","Hospital"
"Pierce","ORTING SCHOOL DISTRICT NO. 344 Proposition No. 1","Yes"," ","2484","58.5573","School"
"Pierce","ORTING SCHOOL DISTRICT NO. 344 Proposition No. 1","No"," ","1758","41.4427","School"
