"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","TOWN OF LIND Council Position 2","Mike J Wold"," ","64","36.5714","City/Town"
"Adams","TOWN OF LIND Council Position 2","Sheri Marlin"," ","73","41.7143","City/Town"
"Adams","TOWN OF LIND Council Position 2","Kathy Vedder"," ","37","21.1429","City/Town"
"Adams","TOWN OF LIND Council Position 2","WRITE-IN"," ","1","0.5714","City/Town"
"Adams","TOWN OF LIND Council Position 3","Laura Dew"," ","119","70","City/Town"
"Adams","TOWN OF LIND Council Position 3","Whisper Casady"," ","15","8.8235","City/Town"
"Adams","TOWN OF LIND Council Position 3","Richard Baldwin"," ","33","19.4118","City/Town"
"Adams","TOWN OF LIND Council Position 3","WRITE-IN"," ","3","1.7647","City/Town"
"Adams","CITY OF RITZVILLE Mayor","Glen R Stockwell"," ","106","18.6292","City/Town"
"Adams","CITY OF RITZVILLE Mayor","Linda Kadlec"," ","314","55.1845","City/Town"
"Adams","CITY OF RITZVILLE Mayor","Dennis R Chamberlain"," ","144","25.3076","City/Town"
"Adams","CITY OF RITZVILLE Mayor","WRITE-IN"," ","5","0.8787","City/Town"
"Adams","CITY OF RITZVILLE Council at Large 2yr","Charles Jingling"," ","111","20.632","City/Town"
"Adams","CITY OF RITZVILLE Council at Large 2yr","Dan Peters"," ","73","13.5688","City/Town"
"Adams","CITY OF RITZVILLE Council at Large 2yr","Mark Weigand"," ","150","27.881","City/Town"
"Adams","CITY OF RITZVILLE Council at Large 2yr","Marsha Reimers Smith"," ","201","37.3606","City/Town"
"Adams","CITY OF RITZVILLE Council at Large 2yr","WRITE-IN"," ","3","0.5576","City/Town"
"Adams","OTHELLO PARK AND RECREATION 1 Maintenance and Operation Levy","Approved"," ","524","53.965","Park and Recreation"
"Adams","OTHELLO PARK AND RECREATION 1 Maintenance and Operation Levy","Rejected"," ","447","46.035","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Maintenance and Operation Levy","Approved"," ","199","76.5385","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Maintenance and Operation Levy","Rejected"," ","61","23.4615","Park and Recreation"
"Adams","RITZVILLE PARK AND RECREATION 4 Maintenance and Operation Levy","Approved"," ","559","71.0292","Park and Recreation"
"Adams","RITZVILLE PARK AND RECREATION 4 Maintenance and Operation Levy","Rejected"," ","228","28.9708","Park and Recreation"
"Adams","CEMETERY DISTRICT 1 Maintenance and Operation Levy","Approved"," ","73","78.4946","Cemetery"
"Adams","CEMETERY DISTRICT 1 Maintenance and Operation Levy","Rejected"," ","20","21.5054","Cemetery"
"Adams","CEMETERY DISTRICT 3 Maintenance and Operation Levy","Approved"," ","195","74.4275","Cemetery"
"Adams","CEMETERY DISTRICT 3 Maintenance and Operation Levy","Rejected"," ","67","25.5725","Cemetery"
"Benton"," Benton County Sheriff Recall","Recall Yes"," ","31731","74.3063","County"
"Benton"," Benton County Sheriff Recall","Recall No"," ","10972","25.6937","County"
"Benton","CITY OF BENTON CITY WHETHER TO ADOPT THE COUNCIL/MANAGER FORM OF GOVERNMENT WITHIN THE CITY OF BENTON CITY","Yes"," ","301","44.7917","City/Town"
"Benton","CITY OF BENTON CITY WHETHER TO ADOPT THE COUNCIL/MANAGER FORM OF GOVERNMENT WITHIN THE CITY OF BENTON CITY","No"," ","371","55.2083","City/Town"
"Benton","Kennewick Ward District #1 Council Position 1 Ward 1","Don Britain"," ","2804","43.1517","City/Town"
"Benton","Kennewick Ward District #1 Council Position 1 Ward 1","Jacob Finkbeiner"," ","533","8.2025","City/Town"
"Benton","Kennewick Ward District #1 Council Position 1 Ward 1","Gretl Crawford"," ","3134","48.2302","City/Town"
"Benton","Kennewick Ward District #1 Council Position 1 Ward 1","WRITE-IN"," ","27","0.4155","City/Town"
"Benton","Kennewick Ward District #3 Council Position 3 Ward 3","Brandon Andersen"," ","662","20.0667","City/Town"
"Benton","Kennewick Ward District #3 Council Position 3 Ward 3","Jason Lohr"," ","948","28.736","City/Town"
"Benton","Kennewick Ward District #3 Council Position 3 Ward 3","John H. Trumbo"," ","1669","50.5911","City/Town"
"Benton","Kennewick Ward District #3 Council Position 3 Ward 3","WRITE-IN"," ","20","0.6062","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","Ken Short"," ","3761","26.1635","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","Bryan Meehan-Verhei"," ","1220","8.487","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","Bill McKay"," ","6822","47.4574","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","UBY CREEK"," ","2516","17.5026","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","WRITE-IN"," ","56","0.3896","City/Town"
"Benton","CITY OF BENTON CITY Council Pos. 3","Lori (Mama) Cornish"," ","101","15.188","City/Town"
"Benton","CITY OF BENTON CITY Council Pos. 3","Alex Weber"," ","292","43.9098","City/Town"
"Benton","CITY OF BENTON CITY Council Pos. 3","David Sandretto"," ","265","39.8496","City/Town"
