MeasID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,Orig_TYPE,RECTYPE,RECTYPENAME,Orig_TOPIC,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,Passfail_sum,typerec,topicrec,OTH
201100001,2011,19,2,Los Angeles,2011-01-25,Azusa,2,M,A,"Shall Ordinance No. 10-O5 adopting a development agreement with Azusa Rock, Inc., which was approved by the Azusa City Council and provides environmental bene?ts and assurances, including millions of dollars in reclamation of the Mayan Steps, requires additional air quality monitoring, requires permanent access to Fish Canyon, provides Open Space funding, and mandates an end to hillside mining by 2038 be adopted?",70,70,Ordinance,20,20,Land Use,2250,1059,3309,0.679964,M,1,Pass,0,201100001,2250,1059,3309,0.679964,1,Pass,70,20,0
201100003,2011,9,3,El Dorado,2011-03-08,Tahoe-Truckee Unified,2,M,A,"To reduce the impact of budget cuts and ensure all students receive a high quality education by preventing reductions in science, music, art, technology, physical education, college preparation, honors/advanced placement classes and vocational education, retaining librarians, counselors and nurses, and maintaining funding for school equipment and supplies, shall Tahoe Truckee Unified School District renew its expiring parcel tax for 7 years, at 135 dollars per year, with senior exemptions, citizens oversight, and annual audits?",3,3,Property Tax,10,10,Education,149,69,218,0.683486,T,1,PassT,1,201100003,4844,2207,7051,0.686995,1,PassT,1,10,0
201100026,2011,29,3,Nevada,2011-03-08,Tahoe-Truckee Unified,2,M,A,"To reduce the impact of budget cuts and ensure all students receive a high quality education by preventing reductions in science, music, art, technology, physical education, college preparation, honors/advanced placement classes and vocational education, retaining librarians, counselors and nurses, and maintaining funding for school equipment and supplies, shall Tahoe Truckee Unified School District renew its expiring parcel tax for 7 years, at 135 dollars per year, with senior exemptions, citizens oversight, and annual audits?",3,3,Property Tax,10,10,Education,2784,1210,3994,0.697046,T,1,PassT,1,201100003,4844,2207,7051,0.686995,1,PassT,1,10,0
201100028,2011,31,3,Placer,2011-03-08,Tahoe-Truckee Unified,2,M,A,"To reduce the impact of budget cuts and ensure all students receive a high quality education by preventing reductions in science, music, art, technology, physical education, college preparation, honors/advanced placement classes and vocational education, retaining librarians, counselors and nurses, and maintaining funding for school equipment and supplies, shall Tahoe Truckee Unified School District renew its expiring parcel tax for 7 years, at 135 dollars per year, with senior exemptions, citizens oversight, and annual audits?",3,3,Property Tax,10,10,Education,1911,928,2839,0.673124,T,1,PassT,1,201100003,4844,2207,7051,0.686995,1,PassT,1,10,0
201100002,2011,1,3,Alameda,2011-03-08,Alameda City Unified,2,M,A,"To maintain high-quality Alameda schools by protecting small class sizes; core academic, art, music and athletic programs; neighborhood schools; and retaining excellent teachers, shall Alameda Unified School District replace two existing parcel taxes with one annual parcel tax for 7 years in the amounts described in the voter pamphlet, with an exception for seniors, strict accountability measures including oversight by an independent citizens' committee and an annual audit, and every dollar staying in Alameda schools?",3,3,Property Tax,10,10,Education,14685,6907,21592,0.680113,T,1,PassT,0,201100002,14685,6907,21592,0.680113,1,PassT,1,10,0
201100004,2011,19,2,Los Angeles,2011-03-08,Beverly Hills,2,M,2P,Shall an ordinance be adopted to require the City Council to provide free parking for two hours at particular City-owned parking facilities and limit the amount of monthly parking at those facilities?,70,70,Ordinance,200,200,Other,3452,2112,5564,0.620417,M,1,Pass,0,201100004,3452,2112,5564,0.620417,1,Pass,70,200,0
201100005,2011,19,2,Los Angeles,2011-03-08,Beverly Hills,2,M,3P,Shall an ordinance be adopted to provide Beverly Hills residents with free parking for three hours daily and a discount of 50% from evening rates at particular City-owned parking facilities?,70,70,Ordinance,200,200,Other,1542,3855,5397,0.285714,M,2,Fail,0,201100005,1542,3855,5397,0.285714,2,Fail,70,200,0
201100006,2011,19,2,Los Angeles,2011-03-08,West Hollywood,2,M,A,Shall an Ordinance be adopted (1) imposing a new 7% tax on revenue from off-site advertising signs and (2) amending the City's zoning ordinance to allow tall wall advertising signs to be placed on buildings that meet certain criteria on Santa Monica and Beverly Boulevards without discretionary review by the City?,7,7,Miscellaneous Tax,22,22,Land Use: Zoning,1121,4424,5545,0.202164,M,2,Fail,0,201100006,1121,4424,5545,0.202164,2,Fail,1,20,0
201100007,2011,19,2,Los Angeles,2011-03-08,Commerce,2,M,A,"Shall the ordinance entitled ""An ordinance of the people of the city of Commerce, California, limiting the number of terms and/or total years a member of the City Council may serve"" be adopted?",70,70,Ordinance,45,45,Governance: Political Reform/Term Limits,675,250,925,0.72973,M,1,Pass,0,201100007,675,250,925,0.72973,1,Pass,70,40,0
201100008,2011,19,2,Los Angeles,2011-03-08,Monterey Park,2,M,BB,Shall the ordinance mandating the city council to utilize a competitive bid process for awarding solid waste (trash) franchises within the city be adopted?,70,70,Ordinance,47,47,Governance: Contracting/Bidding/Leasing,4088,1619,5707,0.716313,M,1,Pass,0,201100008,4088,1619,5707,0.716313,1,Pass,70,40,0
