MeasID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,RECTYPE,RECTYPENAME,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,Passfail_sum,typerec,topicrec
201600001,2016,1,1,ALAMEDA,2016-06-07,San Francisco Bay Restoration Authority,0,M,AA,"To protect San Francisco Bay for future generations by reducing trash, pollution and harmful toxins, improving water quality, restoring habitat for fish, birds and wildlife, protecting communities from floods, and increasing shoreline public access, shall the San Francisco Bay Restoration Authority authorize a parcel tax of $12 per year, raising approximately $25 million annually for twenty years with independent citizen oversight, audits, and all funds staying local?",3,Property Tax,54,Environment: Regulation/Mitigation,250735,84667,335402,0.7475656078377588,T,1,PassT,1,201600001,1256240,534626,1790866,0.701470685132221,1,PassT,1,50
201600013,2016,7,1,CONTRA COSTA,2016-06-07,San Francisco Bay Restoration Authority,0,M,AA,"To protect San Francisco Bay for future generations by reducing trash, pollution and harmful toxins, improving water quality, restoring habitat for fish, birds and wildlife, protecting communities from floods, and increasing shoreline public access, shall the San Francisco Bay Restoration Authority authorize a parcel tax of $12 per year, raising approximately $25 million annually for twenty years with independent citizen oversight, audits, and all funds staying local?",3,Property Tax,54,Environment: Regulation/Mitigation,169024,88249,257273,0.6569830491345768,T,2,FailT,1,201600001,1256240,534626,1790866,0.701470685132221,1,PassT,1,50
201600044,2016,21,1,MARIN,2016-06-07,San Francisco Bay Restoration Authority,0,M,AA,"To protect San Francisco Bay for future generations by reducing trash, pollution and harmful toxins, improving water quality, restoring habitat for fish, birds and wildlife, protecting communities from floods, and increasing shoreline public access, shall the San Francisco Bay Restoration Authority authorize a parcel tax of $12 per year, raising approximately $25 million annually for twenty years with independent citizen oversight, audits, and all funds staying local?",3,Property Tax,54,Environment: Regulation/Mitigation,71862,25906,97768,0.7350257753048032,T,1,PassT,1,201600001,1256240,534626,1790866,0.701470685132221,1,PassT,1,50
201600064,2016,28,1,NAPA,2016-06-07,San Francisco Bay Restoration Authority,0,M,AA,"To protect San Francisco Bay for future generations by reducing trash, pollution and harmful toxins, improving water quality, restoring habitat for fish, birds and wildlife, protecting communities from floods, and increasing shoreline public access, shall the San Francisco Bay Restoration Authority authorize a parcel tax of $12 per year, raising approximately $25 million annually for twenty years with independent citizen oversight, audits, and all funds staying local?",3,Property Tax,54,Environment: Regulation/Mitigation,24598,17000,41598,0.5913265060820232,T,2,FailT,1,201600001,1256240,534626,1790866,0.701470685132221,1,PassT,1,50
201600082,2016,38,1,SAN FRANCISCO,2016-06-07,San Francisco Bay Restoration Authority,0,M,AA,"To protect San Francisco Bay for future generations by reducing trash, pollution and harmful toxins, improving water quality, restoring habitat for fish, birds and wildlife, protecting communities from floods, and increasing shoreline public access, shall the San Francisco Bay Restoration Authority authorize a parcel tax of $12 per year, raising approximately $25 million annually for twenty years with independent citizen oversight, audits, and all funds staying local?",3,Property Tax,54,Environment: Regulation/Mitigation,186674,53766,240440,0.7763849609050075,T,1,PassT,1,201600001,1256240,534626,1790866,0.701470685132221,1,PassT,1,50
201600112,2016,41,1,SAN MATEO,2016-06-07,San Francisco Bay Restoration Authority,0,M,AA,"To protect San Francisco Bay for future generations by reducing trash, pollution and harmful toxins, improving water quality, restoring habitat for fish, birds and wildlife, protecting communities from floods, and increasing shoreline public access, shall the San Francisco Bay Restoration Authority authorize a parcel tax of $12 per year, raising approximately $25 million annually for twenty years with independent citizen oversight, audits, and all funds staying local?",3,Property Tax,54,Environment: Regulation/Mitigation,126943,49422,176365,0.7197743316417656,T,1,PassT,1,201600001,1256240,534626,1790866,0.701470685132221,1,PassT,1,50
201600117,2016,43,1,SANTA CLARA,2016-06-07,San Francisco Bay Restoration Authority,0,M,AA,"To protect San Francisco Bay for future generations by reducing trash, pollution and harmful toxins, improving water quality, restoring habitat for fish, birds and wildlife, protecting communities from floods, and increasing shoreline public access, shall the San Francisco Bay Restoration Authority authorize a parcel tax of $12 per year, raising approximately $25 million annually for twenty years with independent citizen oversight, audits, and all funds staying local?",3,Property Tax,54,Environment: Regulation/Mitigation,279259,119254,398513,0.700752547595687,T,1,PassT,1,201600001,1256240,534626,1790866,0.701470685132221,1,PassT,1,50
201600131,2016,48,1,SOLANO,2016-06-07,San Francisco Bay Restoration Authority,0,M,AA,"To protect San Francisco Bay for future generations by reducing trash, pollution and harmful toxins, improving water quality, restoring habitat for fish, birds and wildlife, protecting communities from floods, and increasing shoreline public access, shall the San Francisco Bay Restoration Authority authorize a parcel tax of $12 per year, raising approximately $25 million annually for twenty years with independent citizen oversight, audits, and all funds staying local?",3,Property Tax,54,Environment: Regulation/Mitigation,51482,43248,94730,0.5434603610260741,T,2,FailT,1,201600001,1256240,534626,1790866,0.701470685132221,1,PassT,1,50
201600137,2016,49,1,SONOMA,2016-06-07,San Francisco Bay Restoration Authority,0,M,AA,"To protect San Francisco Bay for future generations by reducing trash, pollution and harmful toxins, improving water quality, restoring habitat for fish, birds and wildlife, protecting communities from floods, and increasing shoreline public access, shall the San Francisco Bay Restoration Authority authorize a parcel tax of $12 per year, raising approximately $25 million annually for twenty years with independent citizen oversight, audits, and all funds staying local?",3,Property Tax,54,Environment: Regulation/Mitigation,95663,53114,148777,0.6429958931824139,T,2,FailT,1,201600001,1256240,534626,1790866,0.701470685132221,1,PassT,1,50
201600002,2016,1,1,ALAMEDA,2016-11-08,Alameda,0,M,A1,"To provide affordable local housing and prevent displacement of vulnerable populations, including low- and moderate-income households, veterans, seniors, and persons with disabilities; provide supportive housing for homeless people countywide; and help low- and middle-income households purchase homes and stay in their communities; shall the County of Alameda issue up to $580 million in general obligation bonds to acquire or improve real property, subject to independent citizen oversight and regular audits?",11,GO Bond,81,Housing: Affordable,456705,166320,623025,0.733044420368364,T,1,PassT,0,201600002,456705,166320,623025,0.733044420368364,1,PassT,10,80
