MeasID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,Orig_TYPE,RECTYPE,RECTYPENAME,Orig_TOPIC,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,typerec,topicrec
200800001,2008,1,1,ALAMEDA,2008-02-05,ALAMEDA,0,M,A,"Shall Alameda County impose and collect a special tax on real property parcels in the County commencing on July 1, 2008 and continuing for thirty-five years at rates set forth in the measure, for the purposes of funding grants to Children's Hospital and Research Center Oakland for the construction, expansion, remodeling, renovation, furnishing and equipping projects for Children's Hospital, reimbursing County costs for administration of the tax and ensuring continuing public use of the facilities?",3,3,Property Tax,72,72,Facilities: Health Facilities,"165,330","235,671","401,001",0.4123,T,2,FailT,0,200800001,"165,330","235,671","401,001",0.4123,2,FailT,1,70
200800002,2008,1,1,ALAMEDA,2008-02-05,ALAMEDA,0,M,B,"Shall Alameda County impose and collect a special tax on real property parcels in the County commencing on July 1, 2008 and continuing for thirty years at rates set forth in the measure for the purpose of funding grants to Children's Hospital and Research Center Oakland for the construction, expansion, remodeling, renovation, furnishing and equipping projects for Children's Hospital?",3,3,Property Tax,72,72,Facilities: Health Facilities,"122,676","272,288","394,964",0.3106,T,2,FailT,0,200800002,"122,676","272,288","394,964",0.3106,2,FailT,1,70
200800003,2008,12,1,HUMBOLDT,2008-02-05,MANILA CSD,1,M,B,"(ADVISORY) Whether Manila residents want fluoride added to their water by Humboldt Bay Municipal Water District (HBMWD) if HBMWD decides to implement fluoridation of water, with the prorated cost for Manila to be borne by Manila Community Services District ratepayers?",30,30,Advisory,104,104,General Services: Water,60,164,224,0.2679,M,2,Fail,0,200800003,60,164,224,0.2679,2,Fail,30,100
200800004,2008,13,1,IMPERIAL,2008-02-05,IMPERIAL,0,M,X,Shall the ordinance to make unlawful the importation of sewage sludge and prohibit Imperial County agencies or governmental bodies from authorizing disposal of imported sewer sludge within the jurisdictional boundaries of Imperial County be adopted?,70,70,Ordinance,102,102,General Services: Wastewater/Sewage,"13,826","6,239","20,065",0.6891,M,1,Pass,0,200800004,"13,826","6,239","20,065",0.6891,1,Pass,70,100
200800005,2008,21,1,MARIN,2008-02-05,MUIR BEACH CSD,1,M,B,"Shall Muir Beach CSD Ordinance No. 2007-1, which imposes an annual special tax of two hundred($200.00) dollars for a period of four(4) years, commencing FY 2008-2009 and terminating in FY 2012-2013, on each parcel within the Muir Beach CSD for fire protection, including fuel abatement and emergency preparedness, be approved and shall the Muir Beach CSD appropriations limit be increased by the amount of this voter-approved tax?",3,3,Property Tax,33,33,Safety: Fire,165,36,201,0.8209,T,1,PassT,0,200800005,165,36,201,0.8209,1,PassT,1,30
200800006,2008,28,1,NAPA,2008-02-05,NAPA,0,M,K,Shall Napa County Ordinance No. 08-01 be adopted? (Authorizes delicatessens with outdoor barbeques and wine tastings to be operated on lands in the Agricultural Produce Stand Combination Zoning District when accessory to a lawfully existing  agricultural produce stand if a conditional use permit is first obtained),70,70,Ordinance,22,22,Land Use: Zoning,"24,407","18,100","42,507",0.5742,M,1,Pass,0,200800006,"24,407","18,100","42,507",0.5742,1,Pass,70,20
200800007,2008,36,1,SAN BERNARDINO,2008-02-05,PHELAN PINON CSD-PROPOSED,1,M,I,"Shall the order adopted on September 19, 2007, by the Local Agency Formation Commission for the County of San Bernardino ordering the reorganization to include formation of the Phelan Piñon Hills Community Services District, Detachment from County Service Area 56 and the Dissolution of County Service Area 9, County Service Area 56 Improvement Zone F-1, and County Service Area 70 Improvement Zones L and P-4, known as LAFCO 3070, be approved subject to the terms and conditions as more particularly described in the order?""",70,70,Ordinance,44,44,Governance: Incorporation/Formation/Annexation,"3,636",870,"4,506",0.8069,M,1,Pass,0,200800007,"3,636",870,"4,506",0.8069,1,Pass,70,40
200800008,2008,38,1,SAN FRANCISCO,2008-02-05,SAN FRANCISCO,0,M,A,"Shall the City incur $185,000,000 of bonded indebtedness to fund certain costs associated with the construction, reconstruction, purchase and/or improvement of park and recreation facilities located within the City, under the jurisdiction of the Recreation Park Commission or under the jurisdiction of the Port Commission as further described in Section 3 of the ordinance placing this measure onto the ballot, and paying other costs necessary and convenient for effectuating those purposes, including costs connected with or incidental to the authorization, issuance and sale of the bonds; and authorizing landlords to pass-through to residential tenants in units subject to Chapter 37 of the San Francisco Administrative Code (the ""Residential Stabilization and Arbitration Ordinance"") 50% of the increase in the real property taxes attributable to the cost of the repayment of the bonds?",13,13,Mello/Roos Bond,78,78,Facilities: Parks & Recreation,"177,194","71,232","248,426",0.7133,T,1,PassT,0,200800008,"177,194","71,232","248,426",0.7133,1,PassT,10,70
200800009,2008,38,1,SAN FRANCISCO,2008-02-05,SAN FRANCISCO,0,M,B,Shall the City allow certain retirement-eligible police officers to continue working for up to three additional years while accumulating their regular retirement benefits in tax deferred retirement accounts?,70,70,Ordinance,42,42,Governance: Personnel/Labor Relations,"158,883","86,613","245,496",0.6472,M,1,Pass,0,200800009,"158,883","86,613","245,496",0.6472,1,Pass,70,40
200800010,2008,38,1,SAN FRANCISCO,2008-02-05,SAN FRANCISCO,0,M,C,Shall it be City policy that the City should explore and facilitate the acquisition of Alcatraz Island from the United States government to transform it into a Global Peace Center?,70,70,Ordinance,200,200,Other,"69,251","177,301","246,552",0.2809,M,2,Fail,0,200800010,"69,251","177,301","246,552",0.2809,2,Fail,70,200
200800011,2008,41,1,SAN MATEO,2008-02-05,SAN MATEO CSA #1,1,M,I,Shall Resolution No. 069094 of the County of San Mateo continuing the levy of a special tax for four years at a maximum rate of $65 per parcel per year for fire protection and extended police services be approved?,3,3,Property Tax,33,33,Safety: Fire,"1,314",407,"1,721",0.7635,T,1,PassT,0,200800011,"1,314",407,"1,721",0.7635,1,PassT,1,30
200800012,2008,42,1,SANTA BARBARA,2008-02-05,SANTA BARBARA,0,M,S,"Shall a special property tax of $35.15 per parcel of property be approved to preserve, complete and support Santa Barbara County's Trauma System and Emergency Medical Services Network in order to provide rapid emergency medical and trauma care to all people residing in the county?",3,3,Property Tax,36,36,Safety: Emergency Medical/Paramedic,"61,402","53,091","114,493",0.5363,T,2,FailT,0,200800012,"61,402","53,091","114,493",0.5363,2,FailT,1,30
200800013,2008,50,1,STANISLAUS,2008-02-05,STANISLAUS,0,M,E,"(INITIATIVE) Should the 30-Year Land Use Restriction Initiative be approved, which would require majority approval of County-wide voters for each change in County General Plan land use designation from ""agriculture"" to ""residential"" in Stanislaus County, except within the nine cities of the County?",40,40,Initiative,26,26,Land Use: Voter Approval,"63,121","30,838","93,959",0.6718,M,1,Pass,0,200800013,"63,121","30,838","93,959",0.6718,1,Pass,40,20
200800014,2008,50,1,STANISLAUS,2008-02-05,STANISLAUS,0,M,L,"(INITIATIVE) Should the Stanislaus County Responsible Planning and Growth Control Initiative be approved, which would initiate a comprehensive update of the County General Plan; and would limit residential development until a new General Plan is approved?",40,40,Initiative,21,21,Land Use: Growth Cap/Boundary,"59,247","34,784","94,031",0.6301,M,1,Pass,0,200800014,"59,247","34,784","94,031",0.6301,1,Pass,40,20
200800015,2008,58,1,YUBA,2008-02-05,YUBA HIGHLANDS,0,M,N,"Shall the approval of the Yuba Highlands Development Project pursuant to Resolution 2007-95, consisting of approximately 2,600 acres and including Single Family Low Density, Single Family Medium Density, Multi-Family, Core Commercial, Business Park, Public Facility and Open Space, be adopted?",70,70,Ordinance,22,22,Land Use: Zoning,"3,033","10,373","13,406",0.2262,M,2,Fail,0,200800015,"3,033","10,373","13,406",0.2262,2,Fail,70,20
200800016,2008,7,2,CONTRA COSTA,2008-02-05,EL CERRITO,0,M,A,"To improve neighborhood streets; enhance road safety citywide by fixing potholes; maintaining, repairing and repaving streets; sealing cracks; improving handicap ramps, crosswalks, bicycle lanes; and maintaining road markings and signage, shall the City of El Cerrito incur debt to immediately begin and accelerate street improvements, paid by establishing a dedicated one-half cent sales tax used exclusively for street improvements, with citizens' oversight and independent audits of expenditure?",4,4,Sales Tax,62,62,Transport: Roads,"6,860","2,791","9,651",0.7108,T,1,PassT,0,200800016,"6,860","2,791","9,651",0.7108,1,PassT,1,60
200800017,2008,7,2,CONTRA COSTA,2008-02-05,PINOLE,0,R,1,Shall Maria Alegria be recalled (removed) from the office of Council Member?,50,50,Recall,46,46,Governance: Recall,"3,498","2,494","5,992",0.5838,M,1,Pass,0,200800017,"3,498","2,494","5,992",0.5838,1,Pass,50,40
200800018,2008,7,2,CONTRA COSTA,2008-02-05,PINOLE,0,R,2,Shall Stephen Tilton be recalled (removed) from the office of Council Member?,50,50,Recall,46,46,Governance: Recall,"3,357","2,493","5,850",0.5738,M,1,Pass,0,200800018,"3,357","2,493","5,850",0.5738,1,Pass,50,40
200800019,2008,7,2,CONTRA COSTA,2008-02-05,RICHMOND,0,M,B,"Shall an ordinance be adopted to reduce the rate of the City of Richmond's Telecommunications Users' Tax from 10% to 9.5%, and to revise the method for calculating and collecting the Telecommunications and Video Users' Tax to reflect technological advances and changes in state and federal law?",5,5,Utility Tax,111,111,Revenues: Tax Repeal/Reduction/Limit,"16,081","5,657","21,738",0.7398,M,1,Pass,0,200800019,"16,081","5,657","21,738",0.7398,1,Pass,1,110
200800020,2008,10,2,FRESNO,2008-02-05,COALINGA,0,M,D,"Shall Ordinance No. 721, changing the powers of the city manager by removing the City Manager's power to appoint the Chief of Police and vesting said power in the City Council, be approved?",70,70,Ordinance,45,45,Governance: Political Reform/Term Limits,614,"1,208","1,822",0.3370,T,2,FailT,0,200800020,614,"1,208","1,822",0.3370,2,FailT,70,40
200800021,2008,10,2,FRESNO,2008-02-05,REEDLEY,0,M,G,To reduce gang/drug related crimes by: hiring/training/retaining police officers; deploying special enforcement units to fight gang members/drug dealers; providing firefighters with enhanced emergency medical training/equipment; upgrading police/fire radios; shall the City of Reedley sales tax be increased by one half cent with citizens' oversight and independent annual financial audits of all expenditures as provided by Ordinance No. 2007-05?,4,4,Sales Tax,32,32,Safety: Police,"3,036","1,057","4,093",0.7418,T,1,PassT,0,200800021,"3,036","1,057","4,093",0.7418,1,PassT,1,30
200800022,2008,10,2,FRESNO,2008-02-05,SANGER,0,M,S,"To recruit/hire/train additional police officers, firefighters, paramedics and 9-1-1 emergency dispatch workers; purchase a fire engine, ambulance, and other emergency equipment; maintain special anti-gang/anti-drug police units; increase neighborhood patrols; increase police presence at schools; shall the City of Sanger impose a three quarters of a cent sales tax with a citizens' oversight committee, annual independent audits, and require all funds to be used for public safety purposes?",4,4,Sales Tax,34,34,Safety: Multiple Emergency Services,"2,674","1,072","3,746",0.7138,T,1,PassT,0,200800022,"2,674","1,072","3,746",0.7138,1,PassT,1,30
200800023,2008,12,2,HUMBOLDT,2008-02-05,ARCATA,0,M,A,"Shall the City of Arcata continue to impose a three percent (3%) Utility Users Tax (Resolution No. 078-21) on the use of utility services in the City, including gas, electric, water, wastewater, and communications services?",5,5,Utility Tax,112,112,Revenues: Tax Creation/Incr./Contin.,"2,556","1,693","4,249",0.6016,M,1,Pass,0,200800023,"2,556","1,693","4,249",0.6016,1,Pass,1,110
200800024,2008,19,2,LOS ANGELES,2008-02-05,DOWNEY,0,M,G,"Shall a Charter Amendment, proposed by the Downey City Council, which amends Charter Section 500.1 Limitation of Terms from a two (2) term limit to a three (3) consecutive term limit and provides for additional terms after a two (2) year waiting period, be adopted?",20,20,Charter Amendment,45,45,Governance: Political Reform/Term Limits,"6,977","14,192","21,169",0.3296,M,2,Fail,0,200800024,"6,977","14,192","21,169",0.3296,2,Fail,20,40
200800025,2008,19,2,LOS ANGELES,2008-02-05,HUNTINGTON PARK,0,M,B,Shall Ordinance No. 814-NS be adopted to reduce the rate of the City of Huntington Park’s Communications Users’ Tax from 7% to 6.5% and maintain a flow of tax revenues to fund essential city services; to revise the method for calculating and collecting the Communications Users’ Tax (currently called the Telephone Users’ Tax) to reflect technological advances and changes in federal law; and to ratify and approve the past collection of the Tax?,5,5,Utility Tax,111,111,Revenues: Tax Repeal/Reduction/Limit,"4,804","1,334","6,138",0.7827,M,1,Pass,0,200800025,"4,804","1,334","6,138",0.7827,1,Pass,1,110
200800026,2008,19,2,LOS ANGELES,2008-02-05,INGLEWOOD,0,M,F,Shall Ordinance No. 08-02 be adopted to prohibit the sale and use of fireworks in the City of Inglewood?,70,70,Ordinance,200,200,Other,"9,772","13,339","23,111",0.4228,M,2,Fail,0,200800026,"9,772","13,339","23,111",0.4228,2,Fail,70,200
