MeasID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,Orig_TYPE,RECTYPE,RECTYPENAME,Orig_TOPIC,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,typerec,topicrec
200700001,2007,5,1,CALAVERAS,2007-03-06,BAR XX CSA NO. 2,1,M,A,"Shall Resolution No. 06-330 of the Calaveras County Board of Supervisors, authorizing imposition of an annual special tax in the amount of $1,815.94 per parcel of real property in the Bar XX County Service Area No. 2 for a period of ten years to repay a loan in the amount of $1.2 million funding road improvements be adopted?",3,3,Property Tax,62,62,Transport: Roads,49,34,83,0.5903614457831325,T,2,FailT,0,200700001,49,34,83,0.5903614457831325,2,FailT,1,60
200700002,2007,21,1,MARIN,2007-03-06,PARADISE CAY CSA NO. 29,1,M,B,"Shall the existing parcel tax of Nine Hundred Twenty Five Dollars ($925.00) on each parcel be increased to One Thousand Two Hundred Dollars ($1,200.00) within County Service Area No. 29 annually and extended for a period of ten (10) years, commencing in FY 2007-2008, terminating in FY 2017- 2018, to provide funds for ongoing maintenance dredging in the principal waterways of Paradise Cay along with the north and south entry channels to San Francisco Bay?",3,3,Property Tax,105,105,General Services: Maintenance,105,7,112,0.9375,T,1,PassT,0,200700002,105,7,112,0.9375,1,PassT,1,100
200700003,2007,15,2,KERN,2007-03-06,CALIFORNIA CITY,0,M,A,"Shall a special tax of up to $100.00 per lot or parcel be approved for each of five fiscal years beginning July 1, 2007?",3,3,Property Tax,112,112,Revenues: Tax Creation/Incr./Contin.,1225,578,1803,0.6794231835829173,T,1,PassT,0,200700003,1225,578,1803,0.6794231835829173,1,PassT,1,110
200700004,2007,19,2,LOS ANGELES,2007-03-06,COVINA,0,M,A,"To continue funding general city services including maintaining police services and equipment; fire protection and paramedic services; street maintenance; and services for senior citizens, libraries, parks and recreation; shall the City of Covina update and extend for only 10 years its 6% Utility Users Tax and city ordinance to fund general city services, without increasing the current tax rate, including mandatory annual financial audits and ensuring all funds stay local to maintain Covina city services?",5,5,Utility Tax,112,112,Revenues: Tax Creation/Incr./Contin.,1413,2078,3491,0.40475508450300773,M,2,Fail,0,200700004,1413,2078,3491,0.40475508450300773,2,Fail,1,110
200700005,2007,19,2,LOS ANGELES,2007-03-06,LOS ANGELES,0,M,LAUSD-L,Shall the City of Los Angeles Charter be amended to establish: contribution limits and additional disclosure requirements for School Board campaigns; local enforcement of School District campaign finance rules; campaign finance training for School Board candidates; term limits of three terms (twelve years) for School Board members; and a School Board compensation review committee?,20,20,Charter Amendment,45,45,Governance: Political Reform/Term Limits,100947,49942,150889,0.6690149712702715,M,1,Pass,0,200700005,100947,49942,150889,0.6690149712702715,1,Pass,20,40
200700006,2007,19,2,LOS ANGELES,2007-03-06,LOS ANGELES,0,M,M,"Shall the Charter be amended to authorize the Council of the City of Los Angeles to establish a voluntary program to allow members to purchase service credit with the Fire and Police Pension Plan for full-time service with other public agencies, provided the member pays the full actuarial cost for the service purchased?",20,20,Charter Amendment,42,42,Governance: Personnel/Labor Relations,84690,56014,140704,0.6019018649078918,M,1,Pass,0,200700006,84690,56014,140704,0.6019018649078918,1,Pass,20,40
200700007,2007,19,2,LOS ANGELES,2007-03-06,MONROVIA,0,M,L,"Shall an ordinance be adopted to rebuild the small and outdated Monrovia Public Library at its current site according to new earthquake, fire safety, energy efficiency and handicapped accessibility standards, with expanded children’s reading areas, upgraded computer technology, new study rooms for students and quiet reading areas, by imposing a special parcel tax with expenditures subject to annual independent audits and no expenditures for administrator’s salaries?",3,3,Property Tax,71,71,Facilities: Libraries,2751,1210,3961,0.6945215854582176,T,1,PassT,0,200700007,2751,1210,3961,0.6945215854582176,1,PassT,1,70
200700008,2007,19,2,LOS ANGELES,2007-03-06,PALOS VERDES ESTATES,0,M,A,"Shall an ordinance be adopted to levy a special tax on each eligible parcel in the City from July 1, 2007 (when the existing special tax expires) until June 30, 2017 to finance fire and paramedic services?",3,3,Property Tax,34,34,Safety: Multiple Emergency Services,2243,327,2570,0.8727626459143969,T,1,PassT,0,200700008,2243,327,2570,0.8727626459143969,1,PassT,1,30
200700009,2007,19,2,LOS ANGELES,2007-03-06,PASADENA,0,M,C,"Shall the ordinance imposing a ""Library Special Tax"" be extended which: (1) can only be used exclusively to fund a portion of operational costs of the Central and branch libraries; (2) exempts religious facilities, community service organizations and persons meeting certain income criteria; (3) limits annual increases based on the Consumer Price Index; (4) prevents imposition of Tax if certain General Fund commitments to the Library are not made; and (5) contains a fifteen-year limit?",7,7,Miscellaneous Tax,71,71,Facilities: Libraries,10372,2524,12896,0.8042803970223326,T,1,PassT,0,200700009,10372,2524,12896,0.8042803970223326,1,PassT,1,70
200700010,2007,19,2,LOS ANGELES,2007-03-06,SOUTH GATE,0,M,T,Shall the office of the City Treasurer change from an elected office to an appointed position?,70,70,Ordinance,43,43,Governance: Organization,739,1615,2354,0.3139337298215803,M,2,Fail,0,200700010,739,1615,2354,0.3139337298215803,2,Fail,70,40
