MeasID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,Orig_TYPE,RECTYPE,RECTYPENAME,Orig_TOPIC,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,typerec,topicrec
199900001,1999,33,2,RIVERSIDE,1999-01-12,MURRIETA,0,M,A,"Shall the order adopted on September 15, 1998, by the City Council of the City of Murrieta ordering the reorganization to annex to the City of Murrieta the territory described in that order and designated as ""LAFCO 96-13-3"" be confirmed subject to the terms and conditions specified in the order?",70,70,Ordinance,44,44,Governance: Incorporation/Formation/Annexation,29,21,50,0.58,M,1,Pass,0,199900001,29,21,50,0.58,1,Pass,70,40
199900002,1999,56,2,VENTURA,1999-01-12,MOORPARK,0,M,S,Shall an ordinance entitled the Moorpark Save Open-Space and Agricultural Resources be adopted?,70,70,Ordinance,23,23,Land Use: Open Space,3567,1694,5261,0.6780079832731419,M,1,Pass,0,199900002,3567,1694,5261,0.6780079832731419,1,Pass,70,20
199900003,1999,56,2,VENTURA,1999-01-12,MOORPARK,0,M,T,"Shall the ordinance entitled an Ordinance of the City Council of the City of Moorpark, California, adopting a Development Agreement between the City of Moorpark and Hidden Creek Ranch Partners (Messenger Investment Company) Related to the Development of Specific Plan No. 8: Hidden Creek Ranch, be adopted?",70,70,Ordinance,24,24,Land Use: Private Projects,1812,3455,5267,0.3440288589329789,M,2,Fail,0,199900003,1812,3455,5267,0.3440288589329789,2,Fail,70,20
199900004,1999,27,3,MONTEREY,1999-01-12,CHUALAR UNION ELEMENTARY-RECALL,0,R,1,"Shall ROY MENDOZA be recalled (removed) from the office of Governing Board Member, Trustee Area No. 3?",50,50,Recall,13,13,Education: Recall,33,18,51,0.6470588235294118,M,1,Pass,0,199900004,33,18,51,0.6470588235294118,1,Pass,50,10
199900005,1999,54,3,TULARE,1999-01-12,FARMERSVILLE UNIFIED-RECALL,0,R,1,Shall La Verne Lamb be recalled (removed) from the office of Governing Board Member?,50,50,Recall,13,13,Education: Recall,323,439,762,0.4238845144356955,M,2,Fail,0,199900005,323,439,762,0.4238845144356955,2,Fail,50,10
199900006,1999,54,3,TULARE,1999-01-12,FARMERSVILLE UNIFIED-RECALL,0,R,2,Shall Alan Vanderlice be recalled (removed) from the office of Governing Board Member?,50,50,Recall,13,13,Education: Recall,339,430,769,0.4408322496749025,M,2,Fail,0,199900006,339,430,769,0.4408322496749025,2,Fail,50,10
199900007,1999,54,3,TULARE,1999-01-12,FARMERSVILLE UNIFIED-RECALL,0,R,3,Shall John Vasquez be recalled (removed) from the office of Governing Board Member?,50,50,Recall,13,13,Education: Recall,328,436,764,0.42931937172774876,M,2,Fail,0,199900007,328,436,764,0.4293193717277487,2,Fail,50,10
199900008,1999,54,3,TULARE,1999-01-12,FARMERSVILLE UNIFIED-RECALL,0,R,4,Shall Don Mason be recalled (removed) from the office of Governing Board Member?,50,50,Recall,13,13,Education: Recall,326,449,775,0.4206451612903226,M,2,Fail,0,199900008,326,449,775,0.4206451612903226,2,Fail,50,10
199900009,1999,21,1,MARIN,1999-03-02,MARINWOOD COMMUNITY SD,1,M,F,"Shall Ordinance No. 13 be amended increasing the special tax for paramedic services effective July 1, 1999 in an amount not to exceed $53.00 per year for each living unit, and a maximum of seven cents per square foot with a flat tax limit of $500.00 per one cent levied for each non-residential structure?",3,3,Property Tax,203,112,Revenues: Tax Creation/Incr./Contin.,653,115,768,0.8502604166666666,T,1,PassT,0,199900009,653,115,768,0.8502604166666666,1,PassT,1,110
199900010,1999,21,1,MARIN,1999-03-02,MARINWOOD COMMUNITY SD,1,M,G,"Shall the appropriations limit for Marinwood Community Services District be increased in the amount of the special tax for fiscal years beginning July 1, 1999 through June 30, 2003?",60,60,Gann Limit,208,116,Revenues: Appropriation Limit Increase,633,132,765,0.8274509803921568,M,1,Pass,0,199900010,633,132,765,0.8274509803921568,1,Pass,60,110
