RecordID,RaceID,CO,JUR,CNTYNAME,YEAR,DATE,CSD,PLACE,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INCUMB,Num_Inc,CAND#,VOTES,WRITEIN,SUMVOTES,TOTVOTES,PERCENT,RVOTES,ELECTED,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,indivtotal_votes,total_writein,multitotal_votes,newtotvotes,Rindivto,newelected
200700001,200700001,9,1,EL DORADO,2007,2007-11-06,1,COSUMNES RIVER CSD,"DIRECTOR, COSUMNES RIVER CSD",4,CSD/CSA DIRECTOR,,Full,2,Daugherty,Kirk,Construction Superintendent,N,2,3,54,0,144,144,0.375,1,1,,0,200700001,200700001,0,54,0,144,144,1,1
200700002,200700001,9,1,EL DORADO,2007,2007-11-06,1,COSUMNES RIVER CSD,"DIRECTOR, COSUMNES RIVER CSD",4,CSD/CSA DIRECTOR,,Full,2,Moran,Jodie,Small Business Owner,N,2,3,54,0,144,144,0.375,1,1,,0,200700001,200700002,0,54,0,144,144,1,1
200700003,200700001,9,1,EL DORADO,2007,2007-11-06,1,COSUMNES RIVER CSD,"DIRECTOR, COSUMNES RIVER CSD",4,CSD/CSA DIRECTOR,,Full,2,Wiley,Julia,Incumbent,Y,1,3,36,0,144,144,0.25,3,2,,0,200700001,200700003,0,36,0,144,144,3,2
200700004,200700002,9,1,EL DORADO,2007,2007-11-06,1,COSUMNES RIVER CSD,"DIRECTOR, COSUMNES RIVER CSD",4,CSD/CSA DIRECTOR,,Short,1,Kahling,John,Civil Engineer,N,2,2,68,0,82,82,0.8292682926829268,1,1,,0,200700002,200700004,0,68,0,82,82,1,1
200700005,200700002,9,1,EL DORADO,2007,2007-11-06,1,COSUMNES RIVER CSD,"DIRECTOR, COSUMNES RIVER CSD",4,CSD/CSA DIRECTOR,,Short,1,La Rochelle,Rocky,Actor,N,2,2,14,0,82,82,0.17073170731707318,2,2,,0,200700002,200700005,0,14,0,82,82,2,2
200700006,200700003,9,1,EL DORADO,2007,2007-11-06,1,FALLEN LEAF LAKE CSD,"DIRECTOR, FALLEN LEAF LAKE CSD",4,CSD/CSA DIRECTOR,,Full,3,Calof,Larry,Incumbent,Y,1,6,63,0,385,385,0.16363636363636364,4,2,,0,200700003,200700006,0,63,0,385,385,4,2
200700007,200700003,9,1,EL DORADO,2007,2007-11-06,1,FALLEN LEAF LAKE CSD,"DIRECTOR, FALLEN LEAF LAKE CSD",4,CSD/CSA DIRECTOR,,Full,3,Clark,Dana,Operations Manager,N,2,6,91,0,385,385,0.23636363636363636,2,1,,0,200700003,200700007,0,91,0,385,385,2,1
200700008,200700003,9,1,EL DORADO,2007,2007-11-06,1,FALLEN LEAF LAKE CSD,"DIRECTOR, FALLEN LEAF LAKE CSD",4,CSD/CSA DIRECTOR,,Full,3,Kelly,James P.,Business Owner/Inventor,N,2,6,9,0,385,385,0.023376623376623377,6,2,,0,200700003,200700008,0,9,0,385,385,6,2
200700009,200700003,9,1,EL DORADO,2007,2007-11-06,1,FALLEN LEAF LAKE CSD,"DIRECTOR, FALLEN LEAF LAKE CSD",4,CSD/CSA DIRECTOR,,Full,3,Stauffer,Karl,Incumbent,Y,1,6,48,0,385,385,0.12467532467532468,5,2,,0,200700003,200700009,0,48,0,385,385,5,2
200700010,200700003,9,1,EL DORADO,2007,2007-11-06,1,FALLEN LEAF LAKE CSD,"DIRECTOR, FALLEN LEAF LAKE CSD",4,CSD/CSA DIRECTOR,,Full,3,Thaden,Eric,Realtor/Property Manager,N,2,6,71,0,385,385,0.18441558441558442,3,1,,0,200700003,200700010,0,71,0,385,385,3,1
