RecordID,RaceID,CO,JUR,CNTYNAME,YEAR,DATE,CSD,PLACE,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INCUMB,Num_Inc,CAND#,VOTES,WRITEIN,SUMVOTES,TOTVOTES,PERCENT,RVOTES,ELECTED,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,indivtotal_votes,total_writein,multitotal_votes,newtotvotes,Rindivto,newelected
199900001,199900001,12,1,HUMBOLDT,1999,1999-11-02,1,CARLOTTA CSD,DIRECTOR-CARLOTTA CSD,4,CSD/CSA DIRECTOR,,Full,3,Brownfield,Birdie,No ballot designation,N,2,8,131,0,742,742,0.1765498652291105,2,1,,0,199900001,199900001,0,131,0,742,742,2,1
199900002,199900001,12,1,HUMBOLDT,1999,1999-11-02,1,CARLOTTA CSD,DIRECTOR-CARLOTTA CSD,4,CSD/CSA DIRECTOR,,Full,3,Harkins,Daniel,Local Business Owner,N,2,8,78,0,742,742,0.10512129380053908,5,2,,0,199900001,199900002,0,78,0,742,742,5,2
199900003,199900001,12,1,HUMBOLDT,1999,1999-11-02,1,CARLOTTA CSD,DIRECTOR-CARLOTTA CSD,4,CSD/CSA DIRECTOR,,Full,3,Harvey,John E.,Retired,N,2,8,126,0,742,742,0.16981132075471697,3,1,,0,199900001,199900003,0,126,0,742,742,3,1
199900004,199900001,12,1,HUMBOLDT,1999,1999-11-02,1,CARLOTTA CSD,DIRECTOR-CARLOTTA CSD,4,CSD/CSA DIRECTOR,,Full,3,Leavitt,Phillip,Incumbent,Y,1,8,161,0,742,742,0.2169811320754717,1,1,,0,199900001,199900004,0,161,0,742,742,1,1
199900005,199900001,12,1,HUMBOLDT,1999,1999-11-02,1,CARLOTTA CSD,DIRECTOR-CARLOTTA CSD,4,CSD/CSA DIRECTOR,,Full,3,Longnickel,Warren,Retired,N,2,8,92,0,742,742,0.12398921832884097,4,2,,0,199900001,199900005,0,92,0,742,742,4,2
199900006,199900001,12,1,HUMBOLDT,1999,1999-11-02,1,CARLOTTA CSD,DIRECTOR-CARLOTTA CSD,4,CSD/CSA DIRECTOR,,Full,3,Metzger,Ronnie,Disaster Specialist,N,2,8,16,0,742,742,0.0215633423180593,8,2,,0,199900001,199900006,0,16,0,742,742,8,2
199900007,199900001,12,1,HUMBOLDT,1999,1999-11-02,1,CARLOTTA CSD,DIRECTOR-CARLOTTA CSD,4,CSD/CSA DIRECTOR,,Full,3,Plant,Duane,Retired Firefighter,N,2,8,76,0,742,742,0.10242587601078167,6,2,,0,199900001,199900007,0,76,0,742,742,6,2
199900008,199900001,12,1,HUMBOLDT,1999,1999-11-02,1,CARLOTTA CSD,DIRECTOR-CARLOTTA CSD,4,CSD/CSA DIRECTOR,,Full,3,Segura,Ruben,Court Translator,N,2,8,62,0,742,742,0.08355795148247978,7,2,,0,199900001,199900008,0,62,0,742,742,7,2
199900009,199900002,12,1,HUMBOLDT,1999,1999-11-02,1,CARLOTTA CSD,DIRECTOR-CARLOTTA CSD,4,CSD/CSA DIRECTOR,,Short,1,Bender,Cheryl,Appointed Incumbent,Y,1,2,124,1,246,247,0.5020242914979757,1,1,,0,199900002,199900009,0,124,1,246,247,1,1
199900010,199900002,12,1,HUMBOLDT,1999,1999-11-02,1,CARLOTTA CSD,DIRECTOR-CARLOTTA CSD,4,CSD/CSA DIRECTOR,,Short,1,Benzel,George J.,Retired,N,2,2,122,1,246,247,0.4939271255060729,2,2,,0,199900002,199900010,0,122,1,246,247,2,2
