RecordID,RaceID,CO,JUR,CNTYNAME,YEAR,DATE,CSD,PLACE,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INCUMB,Num_Inc,CAND#,VOTES,WRITEIN,SUMVOTES,TOTVOTES,PERCENT,RVOTES,ELECTED,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,indivtotal_votes,total_writein,multitotal_votes,newtotvotes,Rindivto,newelected
199600001,199600001,1,1,ALAMEDA,1996,1996-03-26,0,ALAMEDA,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Haggerty,Scott,Businessman/Planning Commissioner,N,2,5,16191,0,52856,52856,0.3063228394127441,2,3,1.0,1,199600001,199600001,0,16191,0,52856,52856,2.0,3
199600002,199600001,1,1,ALAMEDA,1996,1996-03-26,0,ALAMEDA,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Mercer,Ken,Businessman,N,2,5,17315,0,52856,52856,0.3275881640684123,1,3,1.0,1,199600001,199600002,0,17315,0,52856,52856,1.0,3
199600003,199600001,1,1,ALAMEDA,1996,1996-03-26,0,ALAMEDA,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,"Pico, Jr.",Thomas P.,Certified Public Accountant,N,2,5,13167,0,52856,52856,0.2491107915846829,3,2,,0,199600001,199600003,0,13167,0,52856,52856,3.0,2
199600004,199600001,1,1,ALAMEDA,1996,1996-03-26,0,ALAMEDA,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Rollisson,Tim,County Water Director,N,2,5,2066,0,52856,52856,0.039087331617980926,5,2,,0,199600001,199600004,0,2066,0,52856,52856,5.0,2
199600005,199600001,1,1,ALAMEDA,1996,1996-03-26,0,ALAMEDA,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Torchia,Domenic,Healthcare Foundation Chair,N,2,5,4117,0,52856,52856,0.0778908733161798,4,2,,0,199600001,199600005,0,4117,0,52856,52856,4.0,2
199600006,199600002,1,1,ALAMEDA,1996,1996-03-26,0,ALAMEDA,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,King,Mary V.,Alameda County Supervisor,Y,1,2,30516,0,49534,49534,0.6160616949973755,1,1,,0,199600002,199600006,0,30516,0,49534,49534,1.0,1
199600007,199600002,1,1,ALAMEDA,1996,1996-03-26,0,ALAMEDA,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Morrison,Brian A.,Small Business Owner,N,2,2,19018,0,49534,49534,0.38393830500262444,2,2,,0,199600002,199600007,0,19018,0,49534,49534,2.0,2
199600008,199600003,1,1,ALAMEDA,1996,1996-03-26,0,ALAMEDA,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Carson,Keith,Incumbent,Y,1,2,36368,0,54838,54838,0.663189758926292,1,1,,0,199600003,199600008,0,36368,0,54838,54838,1.0,1
199600009,199600003,1,1,ALAMEDA,1996,1996-03-26,0,ALAMEDA,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Smith,Sandra A.,Lawyer,N,2,2,18470,0,54838,54838,0.336810241073708,2,2,,0,199600003,199600009,0,18470,0,54838,54838,2.0,2
199600010,199600004,1,1,ALAMEDA,1996,1996-03-26,0,ALAMEDA,MUNICIPAL JUDGE,5,OTHER COUNTY OFFICE,1,Full,1,Brosnahan,Carol,Municipal Court Judge,Y,1,2,18187,0,28968,28968,0.6278307097486882,1,1,,0,199600004,199600010,0,18187,0,28968,28968,1.0,1
