"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","WASHTUCNA PARK AND RECREATION 2 Proposition 1: Maintenance and Operation Levy"," APPROVED \ APROBADA","","69","69.69","Park and Recreation"
"Adams","WASHTUCNA PARK AND RECREATION 2 Proposition 1: Maintenance and Operation Levy"," REJECTED \ RECHAZADA","","30","30.3","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Proposition 1: Maintenance and Operation Levy"," APPROVED \ APROBADA","","153","70.5","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Proposition 1: Maintenance and Operation Levy"," REJECTED \ RECHAZADA","","64","29.49","Park and Recreation"
"Adams","RITZVILLE PARK AND RECREATION 4 Proposition 1: Maintenance and Operation Levy"," APPROVED \ APROBADA","","429","65.09","Park and Recreation"
"Adams","RITZVILLE PARK AND RECREATION 4 Proposition 1: Maintenance and Operation Levy"," REJECTED \ RECHAZADA","","230","34.9","Park and Recreation"
"Adams","CEMETERY DISTRICT 1 Proposition 1: Maintenance and Operation Levy"," APPROVED \ APROBADA","","77","77.77","Cemetery"
"Adams","CEMETERY DISTRICT 1 Proposition 1: Maintenance and Operation Levy"," REJECTED \ RECHAZADA","","22","22.22","Cemetery"
"Benton","City of Benton City Council Position 3","JOHN A. DERDERIAN","","134","41.48","City/Town"
"Benton","City of Benton City Council Position 3","MANNY QUINTERO","","32","9.9","City/Town"
"Benton","City of Benton City Council Position 3","ASHLEY MORRISON","","152","47.05","City/Town"
"Benton","City of Benton City Council Position 3"," WRITE-IN","","5","1.54","City/Town"
"Benton","City Of Kennewick Council Position 5 At Large","CHUCK TORELLI","","3645","49.45","City/Town"
"Benton","City Of Kennewick Council Position 5 At Large","CHARISS WARNER","","2733","37.07","City/Town"
"Benton","City Of Kennewick Council Position 5 At Large","BRANDON POCASANGRE","","972","13.18","City/Town"
"Benton","City Of Kennewick Council Position 5 At Large"," WRITE-IN","","21","0.28","City/Town"
"Benton","City Of Kennewick Council Position 6 At Large","BRAD BEAUCHAMP","","2999","38.48","City/Town"
"Benton","City Of Kennewick Council Position 6 At Large","UBY CREEK","","1336","17.14","City/Town"
"Benton","City Of Kennewick Council Position 6 At Large","BRIAN GRIFFIN","","934","11.98","City/Town"
"Benton","City Of Kennewick Council Position 6 At Large","DAVID SPAULDING","","1051","13.48","City/Town"
"Benton","City Of Kennewick Council Position 6 At Large","ED PACHECO","","1452","18.63","City/Town"
"Benton","City Of Kennewick Council Position 6 At Large"," WRITE-IN","","21","0.26","City/Town"
"Benton","City Of Kennewick Council Position 7 At Large","LINDY VERHEI","","916","11.91","City/Town"
"Benton","City Of Kennewick Council Position 7 At Large","RUSSEL DEL GESSO","","1669","21.7","City/Town"
"Benton","City Of Kennewick Council Position 7 At Large","JAMES (JIM) MILLBAUER","","2897","37.67","City/Town"
"Benton","City Of Kennewick Council Position 7 At Large","RADONA (LIZ) DEVEREAUX","","943","12.26","City/Town"
"Benton","City Of Kennewick Council Position 7 At Large","STEVE YOUNG","","1236","16.07","City/Town"
"Benton","City Of Kennewick Council Position 7 At Large"," WRITE-IN","","29","0.37","City/Town"
"Benton","City Of Richland Council Position 1","KALEN FINN","","1995","23.26","City/Town"
"Benton","City Of Richland Council Position 1","LILLIAN (RANDY) SLOVIC","","2029","23.65","City/Town"
"Benton","City Of Richland Council Position 1","WENDI WARNER","","1841","21.46","City/Town"
"Benton","City Of Richland Council Position 1","BOB THOMPSON","","2666","31.08","City/Town"
"Benton","City Of Richland Council Position 1"," WRITE-IN","","45","0.52","City/Town"
"Benton","City Of Richland Council Position 2","BRAD ANDERSON","","3767","43.73","City/Town"
"Benton","City Of Richland Council Position 2","LARRY STANLEY","","1332","15.46","City/Town"
"Benton","City Of Richland Council Position 2","SHIR REGEV","","3478","40.38","City/Town"
"Benton","City Of Richland Council Position 2"," WRITE-IN","","36","0.41","City/Town"
"Benton","City Of Richland Council Position 5","PHILLIP R. LEMLEY","","3557","40.73","City/Town"
"Benton","City Of Richland Council Position 5","KURT H MAIER","","1426","16.32","City/Town"
"Benton","City Of Richland Council Position 5","LISA THOMAS","","3124","35.77","City/Town"
"Benton","City Of Richland Council Position 5","MIKE LUZZO","","598","6.84","City/Town"
"Benton","City Of Richland Council Position 5"," WRITE-IN","","28","0.32","City/Town"
"Benton","Kennewick School District 17 Director No 3","RON MABRY","","4617","50.73","School"
"Benton","Kennewick School District 17 Director No 3","TONY M ASHTON","","1852","20.34","School"
"Benton","Kennewick School District 17 Director No 3","WENDE CARLISLE","","2594","28.5","School"
"Benton","Kennewick School District 17 Director No 3"," WRITE-IN","","38","0.41","School"
"Benton","Kennewick School District 17 Director No 4","JAMES LANGFORD","","2492","28.76","School"
"Benton","Kennewick School District 17 Director No 4","DAVID CHUMNEY","","2034","23.47","School"
"Benton","Kennewick School District 17 Director No 4","MICHAEL CONNORS","","4058","46.83","School"
"Benton","Kennewick School District 17 Director No 4"," WRITE-IN","","80","0.92","School"
"Benton","Kennewick School District 17 Director No 5","PATRICK (PAT) MASTALER","","2471","27.71","School"
"Benton","Kennewick School District 17 Director No 5","DIANE SUNDVIK","","4996","56.02","School"
"Benton","Kennewick School District 17 Director No 5","FRANK COWING","","1389","15.57","School"
"Benton","Kennewick School District 17 Director No 5"," WRITE-IN","","61","0.68","School"
"Benton","Richland School District 400 Director No 4","JAY CLOUGH","","3397","31.75","School"
"Benton","Richland School District 400 Director No 4","KARI WILLIAMS","","3993","37.33","School"
"Benton","Richland School District 400 Director No 4","LLOYD BECKER","","530","4.95","School"
"Benton","Richland School District 400 Director No 4","RON HIGGINS","","2730","25.52","School"
"Benton","Richland School District 400 Director No 4"," WRITE-IN","","46","0.43","School"
"Benton","Richland School District 400 Director No 5","JILL M. OLDSON","","4034","38.22","School"
"Benton","Richland School District 400 Director No 5","RAMA DEVAGUPTA","","3553","33.66","School"
"Benton","Richland School District 400 Director No 5","LORI WASNER","","2903","27.5","School"
"Benton","Richland School District 400 Director No 5"," WRITE-IN","","63","0.59","School"
"Benton","Fire District #1 Proposition No. 1: Multiple Year Levy Lid Lift"," APPROVED","","1385","56.9","Fire"
"Benton","Fire District #1 Proposition No. 1: Multiple Year Levy Lid Lift"," REJECTED","","1049","43.09","Fire"
"Benton","Fire District #1 Proposition No. 2: Unlimited Tax General Obligation Bonds - $3,000,000"," APPROVED","","1281","54.65","Fire"
"Benton","Fire District #1 Proposition No. 2: Unlimited Tax General Obligation Bonds - $3,000,000"," REJECTED","","1063","45.34","Fire"
"Benton","Fire District #1 Commissioner Position 3","SCOTT CARPENTER","","510","27.3","Fire"
"Benton","Fire District #1 Commissioner Position 3","DAVID JENKINS","","867","46.41","Fire"
"Benton","Fire District #1 Commissioner Position 3","JOHN CHRISTENSON","","459","24.57","Fire"
"Benton","Fire District #1 Commissioner Position 3"," WRITE-IN","","32","1.71","Fire"
"Benton","West Benton Regional Fire Authority Proposition No. 1: Proposition Tax Levy for Fire Protection, Prevention and Emergency Medical Services"," APPROVED","","946","52.06","Fire"
"Benton","West Benton Regional Fire Authority Proposition No. 1: Proposition Tax Levy for Fire Protection, Prevention and Emergency Medical Services"," REJECTED","","871","47.93","Fire"
"Chelan","CHELAN COUNTY Renewal of Enhanced 911 : Emergency Communication Systems and Facilities Sales and Use Tax"," YES","","14461","85","County"
