"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Chelan","WENATCHEE SCHOOL DISTRICT NO. 246 PROPOSITION NO. 1 BONDS TO EXPAND AND MODERNIZE WENATCHEE HIGH SCHOOL","APPROVED ","","5474","57.0803","School"
"Chelan","WENATCHEE SCHOOL DISTRICT NO. 246 PROPOSITION NO. 1 BONDS TO EXPAND AND MODERNIZE WENATCHEE HIGH SCHOOL","REJECTED","","4116","42.9197","School"
"Chelan","FIRE DISTRICT NO. 7 PROPOSITION NO. 1  AUTHORIZING PROPERTY  TAX LEVY LID LIFT FOR FIRE AND EMERGENCY SERVICES","Yes","","814","39.8044","Fire"
"Chelan","FIRE DISTRICT NO. 7 PROPOSITION NO. 1  AUTHORIZING PROPERTY  TAX LEVY LID LIFT FOR FIRE AND EMERGENCY SERVICES","No","","1231","60.1956","Fire"
"Chelan","MANSON PARKS AND RECREATION DISTRICT PROPOSITION NO. 1  MAINTENANCE AND OPERATION FUNDING","Yes","","607","70.7459","Park and Recreation"
"Chelan","MANSON PARKS AND RECREATION DISTRICT PROPOSITION NO. 1  MAINTENANCE AND OPERATION FUNDING","No","","251","29.2541","Park and Recreation"
"Clark","BATTLE GROUND SCHOOL DISTRICT NO. 119 Proposition 4 Bonds to construct, replace and renovate school facilities and improve safety","Approved","","10173","53.8739","School"
"Clark","BATTLE GROUND SCHOOL DISTRICT NO. 119 Proposition 4 Bonds to construct, replace and renovate school facilities and improve safety","Rejected","","8710","46.1261","School"
"Cowlitz","Castle Rock School District No. 401 Proposition 1 Facility Improvement General Obligation Bonds","Approved","","1495","56.9958","School"
"Cowlitz","Castle Rock School District No. 401 Proposition 1 Facility Improvement General Obligation Bonds","Rejected","","1128","43.0042","School"
"Douglas","BREWSTER SD Proposition No. 1 Replacement of Expiring Educational Programs and Operation Levy","Levy Yes","","31","38.2716","School"
"Douglas","BREWSTER SD Proposition No. 1 Replacement of Expiring Educational Programs and Operation Levy","Levy No","","50","61.7284","School"
"Ferry","SCHOOL DISTRICT 065 Replacement Educational Programs and Operation Levy ","Levy Yes","","61","54.955","School"
"Ferry","SCHOOL DISTRICT 065 Replacement Educational Programs and Operation Levy ","Levy No","","50","45.045","School"
"Grant","Moses Lake School Dist #161 Proposition No. 1 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATIONS LEVY","LEVY...YES","","4564","60.219","School"
"Grant","Moses Lake School Dist #161 Proposition No. 1 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATIONS LEVY","LEVY...NO","","3015","39.781","School"
"Grant","Wilson Creek School Dist #167 Proposition No. 1 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY...YES","","95","70.3704","School"
"Grant","Wilson Creek School Dist #167 Proposition No. 1 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY...NO","","40","29.6296","School"
"Grant","City of Ephrata Proposition No. 1 SALES AND USE TAX FOR TRANSPORTATION IMPROVEMENTS","Yes","","772","60.1715","City/Town"
"Grant","City of Ephrata Proposition No. 1 SALES AND USE TAX FOR TRANSPORTATION IMPROVEMENTS","No","","511","39.8285","City/Town"
"Island","SNO ISLE LIBRARY DISTRICT Proposition Number 1 - Levy Rate Proposition ","Yes","","13316","61.774","Library"
"Island","SNO ISLE LIBRARY DISTRICT Proposition Number 1 - Levy Rate Proposition ","No","","8240","38.226","Library"
"King","City of Kent Proposition A 2% Utility Tax Increase for Police and Criminal Justice Services","Approved","","6209","42.7794","City/Town"
"King","City of Kent Proposition A 2% Utility Tax Increase for Police and Criminal Justice Services","Rejected","","8305","57.2206","City/Town"
"King","Tahoma School District No. 409 Proposition No. 1 Replacement of Expiring Educational Programs and Operations Levy","Yes","","8166","63.8617","School"
"King","Tahoma School District No. 409 Proposition No. 1 Replacement of Expiring Educational Programs and Operations Levy","No","","4621","36.1383","School"
"King","King County Fire Protection District No. 45 Proposition No. 1 Bonds to Construct and Renovate Fire Stations","Approved","","1384","59.4502","Fire"
"King","King County Fire Protection District No. 45 Proposition No. 1 Bonds to Construct and Renovate Fire Stations","Rejected","","944","40.5498","Fire"
"King","Puget Sound Regional Fire Authority Proposition No. 1 ","Approved","","7894","42.8277","Fire"
"King","Puget Sound Regional Fire Authority Proposition No. 1 ","Rejected","","10538","57.1723","Fire"
"Kittitas","PORT DISTRICT Proposition No. 1 ","Yes","","2028","26.3035","Port"
"Kittitas","PORT DISTRICT Proposition No. 1 ","No","","5682","73.6965","Port"
"Kittitas","SELAH SCHOOL DISTRICT 119 Proposition No. 1 Bonds to Replace and Restructure John Campbell Primary School","Approved","","5","35.7143","School"
"Kittitas","SELAH SCHOOL DISTRICT 119 Proposition No. 1 Bonds to Replace and Restructure John Campbell Primary School","Rejected","","9","64.2857","School"
"Klickitat","ROOSEVELT SCHOOL DISTRICT # 403 Proposition No. 1 Educational Programs and Operations Levy","Yes","","33","55.9322","School"
"Klickitat","ROOSEVELT SCHOOL DISTRICT # 403 Proposition No. 1 Educational Programs and Operations Levy","No","","26","44.0678","School"
"Lewis","Castle Rock School District #401 Proposition 1 Facility Improvement General Obligation Bonds","Approved","","108","36.1204","School"
"Lewis","Castle Rock School District #401 Proposition 1 Facility Improvement General Obligation Bonds","Rejected","","191","63.8796","School"
"Lincoln","WILSON CREEK SCHOOL DISTRICT 202 Proposition No. 1 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY...YES","","0","0","School"
"Lincoln","WILSON CREEK SCHOOL DISTRICT 202 Proposition No. 1 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY...NO","","0","0","School"
"Mason","City of Shelton Council Member No. 4","Eric Onisko","","903","67.0379","City/Town"
"Mason","City of Shelton Council Member No. 4","Jason Coots","","444","32.9621","City/Town"
"Mason","City of Shelton Council Member No. 5","Marilyn Vogler","","643","47.5592","City/Town"
"Mason","City of Shelton Council Member No. 5","Deidre Peterson","","709","52.4408","City/Town"
"Mason","City of Shelton Council Member No. 6","Bailee Syrek","","553","40.5723","City/Town"
"Mason","City of Shelton Council Member No. 6","Joe Schmit","","810","59.4277","City/Town"
"Mason","City of Shelton Council Member No. 7","Tracy Moore","","633","45.6381","City/Town"
"Mason","City of Shelton Council Member No. 7","Bob Rogers","","754","54.3619","City/Town"
"Mason","Southside School 42 Replacement of Expiring Educational Programs and Operations Levy ","Levy...YES","","335","54.8282","School"
"Mason","Southside School 42 Replacement of Expiring Educational Programs and Operations Levy ","Levy...NO","","276","45.1718","School"
"Okanogan","BREWSTER SCHOOL 111-203J Proposition No. 1 Replacement of Expiring Educational Programs and Operation Levy","Levy Yes","","274","57.0833","School"
"Okanogan","BREWSTER SCHOOL 111-203J Proposition No. 1 Replacement of Expiring Educational Programs and Operation Levy","Levy No","","206","42.9167","School"
"Pacific","School District #118 PROPOSITION 1  SOUTH BEND SCHOOL DISTRICT NO. 118 BONDS TO CONSTRUCT A NEW ELEMENTARY SCHOOL","Approved","","529","75.788","School"
"Pacific","School District #118 PROPOSITION 1  SOUTH BEND SCHOOL DISTRICT NO. 118 BONDS TO CONSTRUCT A NEW ELEMENTARY SCHOOL","Rejected","","169","24.212","School"
"Pierce","TOWN OF SOUTH PRAIRIE Proposition No. 1 Emergency Medical Services Property Tax Levy","Yes","","44","72.1311","City/Town"
"Pierce","TOWN OF SOUTH PRAIRIE Proposition No. 1 Emergency Medical Services Property Tax Levy","No","","17","27.8689","City/Town"
"Pierce","PENINSULA SCHOOL DISTRICT NO. 401 Proposition No. 1 General Obligation Bonds - $220,000,000","Approved","","13601","58.9605","School"
"Pierce","PENINSULA SCHOOL DISTRICT NO. 401 Proposition No. 1 General Obligation Bonds - $220,000,000","Rejected","","9467","41.0395","School"
"San Juan","San Juan Island School District #149 Proposition No. 1 Replacement Educational Programs and Operations Levy","Yes","","2021","72.1271","School"
"San Juan","San Juan Island School District #149 Proposition No. 1 Replacement Educational Programs and Operations Levy","No","","781","27.8729","School"
"San Juan","San Juan County Public Hospital District #3 Hospital Commissioner 1","Richard Fralick","","1456","100","Public Hospital"
"San Juan","San Juan County Public Hospital District #3 Hospital Commissioner 2","Pegi Groundwater","","1443","100","Public Hospital"
