"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","Washington State Advisory Vote No. 36","Repealed"," ","2070","83.5351","State Executive"
"Adams","Washington State Advisory Vote No. 36","Maintained"," ","408","16.4649","State Executive"
"Adams","Washington State Advisory Vote No. 37","Repealed"," ","2146","86.081","State Executive"
"Adams","Washington State Advisory Vote No. 37","Maintained"," ","347","13.919","State Executive"
"Adams","Washington State Advisory Vote No. 38","Repealed"," ","2082","84.5311","State Executive"
"Adams","Washington State Advisory Vote No. 38","Maintained"," ","381","15.4689","State Executive"
"Adams","PORT DISTRICT 1 Commissioner District 3","Patrick Simmons"," ","534","46.6783","Port"
"Adams","PORT DISTRICT 1 Commissioner District 3","Deena Vietzke"," ","600","52.4476","Port"
"Adams","PORT DISTRICT 1 Commissioner District 3","WRITE-IN"," ","10","0.8741","Port"
"Adams","HOSPITAL DISTRICT 2 Commissioner Position  1","Daniel Duff"," ","1012","97.7778","Hospital"
"Adams","HOSPITAL DISTRICT 2 Commissioner Position  1","WRITE-IN"," ","23","2.2222","Hospital"
"Adams","HOSPITAL DISTRICT 2 Commissioner Position 4 ","Eric Walker"," ","889","96.1081","Hospital"
"Adams","HOSPITAL DISTRICT 2 Commissioner Position 4 ","WRITE-IN"," ","36","3.8919","Hospital"
"Adams","HOSPITAL DISTRICT 3 Commissioner Position 1","Lynda Bowers"," ","1008","98.15","Hospital"
"Adams","HOSPITAL DISTRICT 3 Commissioner Position 1","WRITE-IN"," ","19","1.85","Hospital"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51-162 Director, District 3, Position 3","Lori Mercer"," ","19","100","School"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51-162 Director, District 3, Position 3","WRITE-IN"," ","0","0","School"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51-162 Director, District 4, Position 4","Pat Hailey"," ","17","100","School"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51-162 Director, District 4, Position 4","WRITE-IN"," ","0","0","School"
"Adams","ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 1","Janie Steward"," ","23","95.8333","School"
"Adams","ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 1","WRITE-IN"," ","1","4.1667","School"
"Adams","ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 5 AT-LARGE","Heather L Valverde"," ","23","95.8333","School"
"Adams","ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 5 AT-LARGE","WRITE-IN"," ","1","4.1667","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Director Position 2","Teresa Correll"," ","81","92.0455","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Director Position 2","WRITE-IN"," ","7","7.9545","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Director Position 3","Jeremy Jessop"," ","106","96.3636","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Director Position 3","WRITE-IN"," ","4","3.6364","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Director Position 4","Steve Crouse"," ","102","98.0769","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Director Position 4","WRITE-IN"," ","2","1.9231","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Director Position 5","Jacob Sitton"," ","100","98.0392","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Director Position 5","WRITE-IN"," ","2","1.9608","School"
"Adams","SCHOOL DISTRICT 122 - BENGE Director Position 2","Heather Clinesmith"," ","14","100","School"
"Adams","SCHOOL DISTRICT 122 - BENGE Director Position 2","WRITE-IN"," ","0","0","School"
"Adams","SCHOOL DISTRICT 122 - BENGE Director Position 5","Bruce Honn"," ","10","100","School"
"Adams","SCHOOL DISTRICT 122 - BENGE Director Position 5","WRITE-IN"," ","0","0","School"
"Adams","LACROSSE SCHOOL DISTRICT - 126 Position 1 at Large","Cathrine Wigen"," ","3","100","School"
"Adams","LACROSSE SCHOOL DISTRICT - 126 Position 1 at Large","WRITE-IN"," ","0","0","School"
"Adams","LACROSSE SCHOOL DISTRICT - 126 Position 2 at Large","Tami Schwartz"," ","3","100","School"
"Adams","LACROSSE SCHOOL DISTRICT - 126 Position 2 at Large","WRITE-IN"," ","0","0","School"
"Adams","LACROSSE SCHOOL DISTRICT - 126 Position 3 at Large","Harmon D. Smith"," ","2","66.6667","School"
"Adams","LACROSSE SCHOOL DISTRICT - 126 Position 3 at Large","WRITE-IN"," ","1","33.3333","School"
"Adams","Warden School Dist #146 SCHOOL DIRECTOR #01","Doug Skone"," ","10","100","School"
"Adams","Warden School Dist #146 SCHOOL DIRECTOR #01","WRITE-IN"," ","0","0","School"
"Adams","Warden School Dist #146 SCHOOL DIRECTOR #04 At Large","Brandi Arredondo"," ","3","23.0769","School"
"Adams","Warden School Dist #146 SCHOOL DIRECTOR #04 At Large","Bryce Cox"," ","10","76.9231","School"
"Adams","Warden School Dist #146 SCHOOL DIRECTOR #04 At Large","WRITE-IN"," ","0","0","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director District 1","Jenn Stevenson"," ","883","94.5396","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director District 1","WRITE-IN"," ","51","5.4604","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director District 3","Kenneth Johnson"," ","895","96.3402","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director District 3","WRITE-IN"," ","34","3.6598","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director District 4 - at large","Lindsy Mollotte Prows"," ","911","95.3927","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director District 4 - at large","WRITE-IN"," ","44","4.6073","School"
"Adams","SCHOOL DISTRICT 158 - LIND Director Position 1","Jim Weidemann"," ","254","97.318","School"
"Adams","SCHOOL DISTRICT 158 - LIND Director Position 1","WRITE-IN"," ","7","2.682","School"
"Adams","SCHOOL DISTRICT 158 - LIND Director Position 3","Adam Labes"," ","283","97.9239","School"
"Adams","SCHOOL DISTRICT 158 - LIND Director Position 3","WRITE-IN"," ","6","2.0761","School"
"Adams","SCHOOL DISTRICT 158 - LIND Director Position 4","Gregory Schmunk"," ","224","92.1811","School"
"Adams","SCHOOL DISTRICT 158 - LIND Director Position 4","WRITE-IN"," ","19","7.8189","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Director District 1","Scott Carruth"," ","558","96.7071","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Director District 1","WRITE-IN"," ","19","3.2929","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Director District 5","Tia Kubik"," ","646","97.5831","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Director District 5","WRITE-IN"," ","16","2.4169","School"
"Adams","SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 3","Amanda Osborne"," ","0","0","School"
"Adams","SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 3","WRITE-IN"," ","0","0","School"
"Adams","SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 5","Joan M. Schmitt"," ","0","0","School"
"Adams","SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 5","WRITE-IN"," ","0","0","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Position 2 at Large","Linda Greenhalgh"," ","0","0","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Position 2 at Large","WRITE-IN"," ","0","0","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Position 4 at Large","Debbie Schlomer"," ","0","0","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Position 4 at Large","WRITE-IN"," ","0","0","School"
"Adams","TOWN OF HATTON Mayor","Dell C Palmer"," ","6","26.087","City/Town"
"Adams","TOWN OF HATTON Mayor","WRITE-IN"," ","17","73.913","City/Town"
"Adams","TOWN OF HATTON Council Position  1","James Earl Van Patten"," ","5","21.7391","City/Town"
"Adams","TOWN OF HATTON Council Position  1","WRITE-IN"," ","18","78.2609","City/Town"
"Adams","TOWN OF HATTON Council Position 3","Linda Palmer"," ","6","26.087","City/Town"
"Adams","TOWN OF HATTON Council Position 3","WRITE-IN"," ","17","73.913","City/Town"
"Adams","TOWN OF LIND Mayor","Jamie Schmunk"," ","98","47.5728","City/Town"
"Adams","TOWN OF LIND Mayor","Paula Bell"," ","103","50","City/Town"
"Adams","TOWN OF LIND Mayor","WRITE-IN"," ","5","2.4272","City/Town"
"Adams","TOWN OF LIND Council Position 1","London Dew"," ","110","53.3981","City/Town"
"Adams","TOWN OF LIND Council Position 1","Rosemary Elkington"," ","94","45.6311","City/Town"
"Adams","TOWN OF LIND Council Position 1","WRITE-IN"," ","2","0.9709","City/Town"
"Adams","TOWN OF LIND Council Position 2","Sheri Marlin"," ","97","47.3171","City/Town"
"Adams","TOWN OF LIND Council Position 2","Mike J Wold"," ","105","51.2195","City/Town"
