"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","ODESSA SCHOOL DISTRICT 105 Proposition No. 1","Levy, Yes"," ","14","46.6667","School"
"Adams","ODESSA SCHOOL DISTRICT 105 Proposition No. 1","Levy, No"," ","16","53.3333","School"
"Adams","ODESSA SCHOOL DISTRICT 105 Proposition No. 2","Levy, Yes"," ","16","51.6129","School"
"Adams","ODESSA SCHOOL DISTRICT 105 Proposition No. 2","Levy, No"," ","15","48.3871","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Replacement Educational Programs and Operation Levy","Levy, Yes"," ","73","69.5238","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Replacement Educational Programs and Operation Levy","Levy, No"," ","32","30.4762","School"
"Adams","SCHOOL DISTRICT 122 - BENGE Replacement Educational Programs and Operation Levy","Levy, Yes"," ","16","100","School"
"Adams","SCHOOL DISTRICT 122 - BENGE Replacement Educational Programs and Operation Levy","Levy, No"," ","0","0","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Replacement Educational Programs and Operation Levy","Levy, Yes"," ","840","60.9579","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Replacement Educational Programs and Operation Levy","Levy, No"," ","538","39.0421","School"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51-162 Replacement of Expiring Educational Programs and Operation Levy","Levy, Yes"," ","9","75","School"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51-162 Replacement of Expiring Educational Programs and Operation Levy","Levy, No"," ","3","25","School"
"Adams","SCHOOL DISTRICT 158 - LIND Replacement Educational Programs and Operation Levy","Levy, Yes"," ","178","78.0702","School"
"Adams","SCHOOL DISTRICT 158 - LIND Replacement Educational Programs and Operation Levy","Levy, No"," ","50","21.9298","School"
"Adams","SCHOOL DISTRICT 158 - LIND Capital Levy for Educational Technology Improvements","Levy, Yes"," ","175","76.7544","School"
"Adams","SCHOOL DISTRICT 158 - LIND Capital Levy for Educational Technology Improvements","Levy, No"," ","53","23.2456","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Replacement Educational Programs and Operation Levy","Levy, Yes"," ","421","57.9092","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Replacement Educational Programs and Operation Levy","Levy, No"," ","306","42.0908","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Capital Levy for Educational Technology Improvements","Levy, Yes"," ","422","58.6926","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Capital Levy for Educational Technology Improvements","Levy, No"," ","297","41.3074","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Educational Programs and Operation Replacement Levy","Levy, Yes"," ","0","0","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Educational Programs and Operation Replacement Levy","Levy, No"," ","0","0","School"
"Asotin","SCHOOL DISTRICT 250 Proposition No. 1","Yes, Levy"," ","2931","61.7703","School"
"Asotin","SCHOOL DISTRICT 250 Proposition No. 1","No, Levy"," ","1814","38.2297","School"
"Benton","FINLEY SCHOOL DISTRICT 53 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY YES"," ","396","52.1739","School"
"Benton","FINLEY SCHOOL DISTRICT 53 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY NO"," ","363","47.8261","School"
"Benton","Paterson School District 50 REPLACEMENT OF EXPIRING EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY YES"," ","41","63.0769","School"
"Benton","Paterson School District 50 REPLACEMENT OF EXPIRING EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY NO"," ","24","36.9231","School"
"Benton","Kiona-Benton City School District 52 EDUCATIONAL PROGRAMS AND OPERATION REPLACEMENT LEVY","LEVY YES"," ","724","43.932","School"
