"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","United States U.S. Senator","Henry Clay Dennison","(Prefers Socialist Workers Party)","10","0.3529","Federal"
"Adams","United States U.S. Senator","Mohammad Hassan Said","(Prefers Democratic Party)","11","0.3881","Federal"
"Adams","United States U.S. Senator","John Guenther","(Prefers Republican Party)","138","4.8694","Federal"
"Adams","United States U.S. Senator","Tiffany Smiley","(Prefers Republican Party)","1780","62.8088","Federal"
"Adams","United States U.S. Senator","Dan Phan Doan","(States No Party Preference)","1","0.0353","Federal"
"Adams","United States U.S. Senator","Dr Pano Churchill","(Prefers Democratic Party)","17","0.5999","Federal"
"Adams","United States U.S. Senator","Dave Saulibio","(Prefers JFK Republican Party)","36","1.2703","Federal"
"Adams","United States U.S. Senator","Sam Cusmir","(Prefers Democratic Party)","2","0.0706","Federal"
"Adams","United States U.S. Senator","Bill Hirt","(Prefers Republican Party)","28","0.988","Federal"
"Adams","United States U.S. Senator","Jon Butler","(Prefers Independent Party)","9","0.3176","Federal"
"Adams","United States U.S. Senator","Bryan Solstin","(Prefers Democratic Party)","17","0.5999","Federal"
"Adams","United States U.S. Senator","Martin D. Hash","(States No Party Preference)","6","0.2117","Federal"
"Adams","United States U.S. Senator","Patty Murray","(Prefers Democratic Party)","557","19.6542","Federal"
"Adams","United States U.S. Senator","Thor Amundson","(Prefers Independent Party)","10","0.3529","Federal"
"Adams","United States U.S. Senator","Charlie (Chuck) Jackson","(Prefers Independent Party)","8","0.2823","Federal"
"Adams","United States U.S. Senator","Naz Paul","(Prefers Independent Party)","19","0.6704","Federal"
"Adams","United States U.S. Senator","Ravin Pierre","(Prefers Democratic Party)","10","0.3529","Federal"
"Adams","United States U.S. Senator","Leon Lawson","(Prefers Trump Republican Party)","173","6.1044","Federal"
"Adams","United States U.S. Senator","WRITE-IN"," ","2","0.0706","Federal"
"Adams","Congressional District 4 U.S. Representative","Corey Gibson","(Prefers Republican Party)","26","2.0015","Congressional"
"Adams","Congressional District 4 U.S. Representative","Loren Culp","(Prefers Republican Party)","427","32.8714","Congressional"
"Adams","Congressional District 4 U.S. Representative","Brad Klippert","(Prefers Republican Party)","72","5.5427","Congressional"
"Adams","Congressional District 4 U.S. Representative","Jacek Kobiesa","(Prefers Republican Party)","4","0.3079","Congressional"
"Adams","Congressional District 4 U.S. Representative","Doug White","(Prefers Democratic Party)","222","17.0901","Congressional"
"Adams","Congressional District 4 U.S. Representative","Benancio &quot;Benny&quot; Garcia III","(Prefers Republican Party)","46","3.5412","Congressional"
"Adams","Congressional District 4 U.S. Representative","Jerrod Sessler","(Prefers Republican Party)","128","9.8537","Congressional"
"Adams","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","373","28.7144","Congressional"
"Adams","Congressional District 4 U.S. Representative","WRITE-IN"," ","1","0.077","Congressional"
"Adams","CONGRESSIONAL DISTRICT 5 U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","1089","71.5036","Congressional"
"Adams","CONGRESSIONAL DISTRICT 5 U.S. Representative","Natasha Hill","(Prefers Democratic Party)","174","11.4248","Congressional"
"Adams","CONGRESSIONAL DISTRICT 5 U.S. Representative","Sean Clynch","(Prefers Republican Party)","180","11.8188","Congressional"
"Adams","CONGRESSIONAL DISTRICT 5 U.S. Representative","Ann Marie Danimus","(Prefers Democratic Party)","75","4.9245","Congressional"
"Adams","CONGRESSIONAL DISTRICT 5 U.S. Representative","WRITE-IN"," ","5","0.3283","Congressional"
"Adams","Washington State Secretary of State","Bob Hagglund","(Prefers Republican Party)","605","23.0652","State Executive"
"Adams","Washington State Secretary of State","Kurtis Engle","(Prefers Union Party)","18","0.6862","State Executive"
"Adams","Washington State Secretary of State","Marquez Tiggs","(Prefers Democratic Party)","116","4.4224","State Executive"
"Adams","Washington State Secretary of State","Tamborine Borrelli","(Prefers America First (R) Party)","205","7.8155","State Executive"
"Adams","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","365","13.9154","State Executive"
"Adams","Washington State Secretary of State","Keith L. Wagoner","(Prefers Republican Party)","741","28.2501","State Executive"
"Adams","Washington State Secretary of State","Mark Miloscia","(Prefers Republican Party)","322","12.276","State Executive"
"Adams","Washington State Secretary of State","Julie Anderson","(Prefers Nonpartisan Party)","247","9.4167","State Executive"
"Adams","Washington State Secretary of State","WRITE-IN"," ","4","0.1525","State Executive"
"Adams","Legislative District 9 State Representative Pos. 1","Mary Dye","(Prefers Republican Party)","1120","98.2456","Legislative"
"Adams","Legislative District 9 State Representative Pos. 1","WRITE-IN"," ","20","1.7544","Legislative"
"Adams","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers GOP Party)","1080","98.0036","Legislative"
"Adams","Legislative District 9 State Representative Pos. 2","WRITE-IN"," ","22","1.9964","Legislative"
"Adams","Legislative District 15 State Senator","Nikki Torres","(Prefers Republican Party)","1101","97.3475","Legislative"
"Adams","Legislative District 15 State Senator","WRITE-IN"," ","30","2.6525","Legislative"
