"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Benton","Kiona-Benton City School District 52 EDUCATIONAL PROGRAMS AND OPERATION REPLACEMENT LEVY","LEVY YES"," ","1060","51.5815","School"
"Benton","Kiona-Benton City School District 52 EDUCATIONAL PROGRAMS AND OPERATION REPLACEMENT LEVY","LEVY NO"," ","995","48.4185","School"
"Chelan","MANSON PARKS AND RECREATION DISTRICT Proposition No. 1","Yes"," ","747","75.1509","Park and Recreation"
"Chelan","MANSON PARKS AND RECREATION DISTRICT Proposition No. 1","No"," ","247","24.8491","Park and Recreation"
"Grays Harbor","Fire District 5 Annexation of City of Elma into Grays Harbor Fire Protection District No.5","Yes"," ","906","85.2305","Fire"
"Grays Harbor","Fire District 5 Annexation of City of Elma into Grays Harbor Fire Protection District No.5","No"," ","157","14.7695","Fire"
"Grays Harbor","City of Elma Annexation of City of Elma into Grays Harbor Fire Protection District No.5","Yes"," ","479","81.0491","City/Town"
"Grays Harbor","City of Elma Annexation of City of Elma into Grays Harbor Fire Protection District No.5","No"," ","112","18.9509","City/Town"
"Grays Harbor","City of Ocean Shores EMERGENCY MEDICAL SERVICES – SIX YEAR LEVY","Yes"," ","2115","69.5495","City/Town"
"Grays Harbor","City of Ocean Shores EMERGENCY MEDICAL SERVICES – SIX YEAR LEVY","No"," ","926","30.4505","City/Town"
"King","City of Shoreline Proposition No. 1","Yes"," ","10046","72.1281","City/Town"
"King","City of Shoreline Proposition No. 1","No"," ","3882","27.8719","City/Town"
"King","SHORELINE FIRE DEPARTMENT Proposition No. 1","Yes"," ","11835","85.5007","Fire"
"King","SHORELINE FIRE DEPARTMENT Proposition No. 1","No"," ","2007","14.4993","Fire"
"King","King County Fire Protection District No. 16 Proposition No. 1","Approved"," ","2044","20.134","Fire"
"King","King County Fire Protection District No. 16 Proposition No. 1","Rejected"," ","8108","79.866","Fire"
"Kittitas","SELAH SCHOOL DISTRICT NO. 119 Proposition No. 1","Levy - Yes"," ","9","47.3684","School"
"Kittitas","SELAH SCHOOL DISTRICT NO. 119 Proposition No. 1","Levy - No"," ","10","52.6316","School"
"Kittitas","FIRE DISTRICT 1 Proposition No. 1","Approved"," ","244","60.8479","Fire"
"Kittitas","FIRE DISTRICT 1 Proposition No. 1","Rejected"," ","157","39.1521","Fire"
"Kittitas","FIRE DISTRICT 3 Proposition No. 1","Approved"," ","122","74.8466","Fire"
"Kittitas","FIRE DISTRICT 3 Proposition No. 1","Rejected"," ","41","25.1534","Fire"
"Klickitat","GLENWOOD FIRE DISTRICT # 8 Proposition No. 1","Approved"," ","126","72.4138","Fire"
"Klickitat","GLENWOOD FIRE DISTRICT # 8 Proposition No. 1","Rejected"," ","48","27.5862","Fire"
"Lewis","CENTRALIA SCHOOL DISTRICT NO. 401 Proposition No. 1 - Replacement Educational Programs and Operations Levy","YES"," ","2782","51.0178","School"
"Lewis","CENTRALIA SCHOOL DISTRICT NO. 401 Proposition No. 1 - Replacement Educational Programs and Operations Levy","NO"," ","2671","48.9822","School"
"Mason","Fire Protection Dist 3 Proposition For Property Tax Levy Lid Lift","Levy...Yes"," ","522","59.6571","Fire"
"Mason","Fire Protection Dist 3 Proposition For Property Tax Levy Lid Lift","Levy...No"," ","353","40.3429","Fire"
"Mason","Fire Protection Dist 5 DBA Central Mason Fire and EMS, Emergency Medical Services Regular Property Levy","Levy...Yes"," ","3451","70.7172","Fire"
"Mason","Fire Protection Dist 5 DBA Central Mason Fire and EMS, Emergency Medical Services Regular Property Levy","Levy...No"," ","1429","29.2828","Fire"
"Mason","FIRE DIST 16 PROPOSED ANNEXATION AREA Proposition For Annexation","Approved"," ","0","0","Fire"
"Mason","FIRE DIST 16 PROPOSED ANNEXATION AREA Proposition For Annexation","Rejected"," ","1","100","Fire"
"Okanogan","TONASKET PARKS AND REC DISTRICT Tonasket Parks and Rec Proposition 1","Yes"," ","1026","67.8571","Park and Recreation"
"Okanogan","TONASKET PARKS AND REC DISTRICT Tonasket Parks and Rec Proposition 1","No"," ","486","32.1429","Park and Recreation"
"Pacific","School District #160 PROPOSITION NO. 1 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATIONS LEVY","LEVY YES"," ","413","46.7195","School"
"Pacific","School District #160 PROPOSITION NO. 1 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATIONS LEVY","LEVY NO"," ","471","53.2805","School"
"Pierce","FIRE PROTECTION DISTRICT NO. 18 Proposition No. 1","Yes"," ","1616","65.9323","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 18 Proposition No. 1","No"," ","835","34.0677","Fire"
