"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Proposition No. 1 Replacement Maintenance and Operation Levy","Levy, Yes","","88","75.2137","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Proposition No. 1 Replacement Maintenance and Operation Levy","Levy, No","","29","24.7863","School"
"Adams","SCHOOL DISTRICT 158 - LIND Proposition No. 1 Replacement Maintenance and Operation Levy","Levy, Yes","","180","72","School"
"Adams","SCHOOL DISTRICT 158 - LIND Proposition No. 1 Replacement Maintenance and Operation Levy","Levy, No","","70","28","School"
"Adams","SCHOOL DISTRICT 161 - WARDEN PROPOSITION NO. 1 REPLACEMENT MAINTENANCE AND OPERATION LEVY","LEVY...YES","","4","36.3636","School"
"Adams","SCHOOL DISTRICT 161 - WARDEN PROPOSITION NO. 1 REPLACEMENT MAINTENANCE AND OPERATION LEVY","LEVY... NO","","7","63.6364","School"
"Adams","SCHOOL DISTRICT 162 - N FRANKLIN Proposition No. 1 Replacement of Expiring Maintenance and Operation Levy","Levy Yes","","15","68.1818","School"
"Adams","SCHOOL DISTRICT 162 - N FRANKLIN Proposition No. 1 Replacement of Expiring Maintenance and Operation Levy","Levy No","","7","31.8182","School"
"Adams","SCHOOL DISTRICT 308 - ENDICOTT Endicott School District No. 308 Proposition 1 Replacement Maintenance and Operation Levy","Yes","","0","0","School"
"Adams","SCHOOL DISTRICT 308 - ENDICOTT Endicott School District No. 308 Proposition 1 Replacement Maintenance and Operation Levy","No","","0","0","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Proposition No. 1 Replacement Maintenance and Operation Levy","Levy, Yes","","574","67.8487","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Proposition No. 1 Replacement Maintenance and Operation Levy","Levy, No","","272","32.1513","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Proposition No. 2 Bonds to Modernize, Improve and Construct School Facilities","Approved","","409","48.8067","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Proposition No. 2 Bonds to Modernize, Improve and Construct School Facilities","Rejected","","429","51.1933","School"
"Adams","SCHOOL DISTRICT 157 - ODESSA Proposition 1 Replacement Maintenance and Operation Levy","LEVY...YES","","13","59.0909","School"
"Adams","SCHOOL DISTRICT 157 - ODESSA Proposition 1 Replacement Maintenance and Operation Levy","LEVY...NO","","9","40.9091","School"
"Adams","SCHOOL DISTRICT 157 - ODESSA Proposition 2 Replacement Capital Levy for School Improvements","LEVY...YES","","12","54.5455","School"
"Adams","SCHOOL DISTRICT 157 - ODESSA Proposition 2 Replacement Capital Levy for School Improvements","LEVY...NO","","10","45.4545","School"
"Asotin","SCHOOL DISTRICT 420 Replacement Maintenance and Operation Levy Proposition 1","Yes, Levy","","645","64.1153","School"
"Asotin","SCHOOL DISTRICT 420 Replacement Maintenance and Operation Levy Proposition 1","No, Levy","","361","35.8847","School"
"Benton","Kennewick School District 17 Proposition 16-5 REPLACEMENT MAINTENACE AND OPERATION LEVY","Levy-Yes","","10404","65.9316","School"
"Benton","Kennewick School District 17 Proposition 16-5 REPLACEMENT MAINTENACE AND OPERATION LEVY","Levy-No","","5376","34.0684","School"
"Benton","Paterson School District 50 Proposition 16-2 REPLACEMENT OF EXPIRING MAINTENANCE AND OPERATION LEVY","Levy-Yes","","61","77.2152","School"
"Benton","Paterson School District 50 Proposition 16-2 REPLACEMENT OF EXPIRING MAINTENANCE AND OPERATION LEVY","Levy-No","","18","22.7848","School"
"Benton","Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","Levy-Yes","","890","54.2683","School"
"Benton","Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","Levy-No","","750","45.7317","School"
"Benton","Finley School District 53 Proposition 16-4 REPLACEMENT MAINTENANCE AND OPERATION LEVY","Levy-Yes","","512","63.6025","School"
"Benton","Finley School District 53 Proposition 16-4 REPLACEMENT MAINTENANCE AND OPERATION LEVY","Levy-No","","293","36.3975","School"
"Benton","Richland School District 400 Proposition 16-1 REPLACEMENT OF EXPIRING MAINTENANCE, EDUCATIONAL PROGRAMS AND OPERATION LEVY","Levy-Yes","","10741","72.8401","School"
"Benton","Richland School District 400 Proposition 16-1 REPLACEMENT OF EXPIRING MAINTENANCE, EDUCATIONAL PROGRAMS AND OPERATION LEVY","Levy-No","","4005","27.1599","School"
"Chelan","LAKE CHELAN SCHOOL DIST NO 129 PROPOSITION 1 REPLACEMENT MAINTENANCE AND OPERATION LEVY","LEVY . . . YES ","","1142","64.4833","School"
"Chelan","LAKE CHELAN SCHOOL DIST NO 129 PROPOSITION 1 REPLACEMENT MAINTENANCE AND OPERATION LEVY","LEVY . . . NO","","629","35.5167","School"
"Chelan","LAKE CHELAN SCHOOL DIST NO 129 PROPOSITION 2 CAPITAL LEVY FOR EDUCATIONAL TECHNOLOGY IMPROVEMENTS","LEVY . . . YES ","","1080","62.5362","School"
"Chelan","LAKE CHELAN SCHOOL DIST NO 129 PROPOSITION 2 CAPITAL LEVY FOR EDUCATIONAL TECHNOLOGY IMPROVEMENTS","LEVY . . . NO ","","647","37.4638","School"
"Clallam","CRESCENT SCHOOL DISTRICT 313 Proposition No. 1 School Maintenance and Operation Levy","Yes","","537","66.0517","School"
